ROL3,Language,Status,NbrPGICs,NbrCountries,JPScale,LeastReached,JPPopulation,BibleStatus,TranslationNeedQuestionable,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion,PercentAdherents,PercentEvangelical
idc,Ajiya,L,1,1,4,N,5820,1,N,,,,N,N,,4,Ethnic Religions,10,5
muc,Ajumbu,L,1,1,2,N,250,1,N,,,,N,N,,1,Christianity,66,1
cpc,Ajyininka Apurucayali,L,1,1,2,N,4890,3,N,,2000,2000,N,N,579,1,Christianity,60,2
akq,Ak,L,1,1,4,N,110,0,Y,,,,N,Y,,4,Ethnic Religions,25,4
soh,Aka,N,1,1,1,Y,1030,0,Y,,,,N,N,,6,Islam,5,0.7
aka,Akan,L,22,12,5,N,10492000,4,Y,1871-1964,1863-1981,1859-1957,Y,N,,1,Christianity,71.93,27.67
aks,Akaselem,L,1,1,1,Y,64000,1,N,,,,N,Y,,6,Islam,1.2,1.1
knj,Akateko,L,2,2,4,N,86700,3,N,,1981-2012,1981,N,Y,623,1,Christianity,98.62,9.48
ake,Akawaio,L,3,3,5,N,6850,3,N,,2010,1873-2008,N,Y,308,1,Christianity,70.6,38.22
aik,Ake,L,1,1,4,N,3390,1,N,,,,N,Y,,4,Ethnic Religions,45,6
keu,Akebu,L,1,1,4,N,76000,2,N,,,2010,Y,Y,,4,Ethnic Religions,25,4
tsr,Akei,L,1,1,5,N,1520,2,N,,,1909-1924,N,Y,,1,Christianity,97,45
aeu,Akeu,L,4,4,1,Y,15500,3,N,,2015,2006–2012,Y,Y,,4,Ethnic Religions,0.54,0.32
ahk,Akha,L,7,5,4,N,637000,4,N,2001,1968-1987,1939-1991,Y,Y,,4,Ethnic Religions,14.46,4.79
akv,Akhvakh,L,1,1,1,Y,6650,1,N,,,,N,N,,6,Islam,0.03,0.03
akt,Akolet,L,1,1,5,N,2320,1,N,,,,N,Y,,1,Christianity,100,16
bss,Akoose,L,1,1,4,N,161000,4,N,Yes,2011,1998-2010,N,Y,336,1,Christianity,70,10
miw,Akoye,L,1,1,5,N,1440,2,N,,,1994-2000,N,N,,1,Christianity,90,22
akf,Akpa,L,1,1,5,N,43500,1,N,,,,N,Y,,1,Christianity,90,15
ibe,Akpes,L,1,1,4,N,18300,1,N,,,,N,N,,4,Ethnic Religions,35,8
spm,Akukem,L,1,1,5,N,890,2,N,,,2003-2010,N,Y,,1,Christianity,100,25
ayk,Akuku,L,1,1,,N,,1,N,,,,N,N,,,,,
aku,Akum,L,2,2,4,N,3030,1,N,,,,N,Y,,1,Christianity,61.46,7.19
aqz,Akuntsu,N,,,,N,,0,Y,,,,N,N,,,,,
ako,Akurio,N,1,1,3,N,60,0,Y,,,,N,N,,4,Ethnic Religions,18,2
akw,Akwa,L,1,1,4,N,37200,1,N,,,,N,Y,,1,Christianity,95,6
syy,Al-Sayyid Bedouin Sign Language,L,,,,N,,1,N,,,,N,N,,,,,
alw,Alaba-K'abeena,L,1,1,1,Y,335000,1,N,,,,Y,Y,,6,Islam,2.6,1.5
akz,Alabama,L,1,1,4,N,770,0,Y,,,,N,N,,1,Christianity,65,4
ala,Alago,L,1,1,4,N,53900,2,N,,,1929,N,Y,,4,Ethnic Religions,7,2.5
wbj,Alagwa,L,1,1,1,Y,47100,1,N,,,,N,Y,,6,Islam,1,0.8
alk,Alak,L,1,1,1,Y,4740,0,Y,,,,N,Y,,4,Ethnic Religions,0,0
amp,Alamblak,L,1,1,5,N,2280,3,N,,2003,1974-1998,N,N,986,1,Christianity,90,13
alj,Alangan,L,1,1,5,N,10500,3,N,,1989,1962-1981,N,Y,,1,Christianity,70,15
alh,Alawa,N,,,,N,,0,Y,,,,N,Y,,,,,
sqk,Albanian Sign Language,L,1,1,,N,,0,Y,,,,N,N,,,,,
aae,"Albanian, Arbereshe",L,2,2,2,N,208000,2,N,,,1868-1869,N,N,,1,Christianity,56.07,0.64
aat,"Albanian, Arvanitika",L,1,1,2,N,152000,3,Y,,1827,Yes,N,N,,1,Christianity,65,1
aln,"Albanian, Gheg",L,11,11,3,N,3227000,3,Y,,1869-1990,1866-1978,Y,Y,7,6,Islam,12.68,0.3
als,"Albanian, Tosk",L,27,21,3,N,2539000,4,Y,1993,1827-2007,1824-1914,Y,Y,7,6,Islam,21.73,0.41
alf,Alege,L,1,1,4,N,16700,1,N,,,,N,Y,,1,Christianity,70,8
gah,Alekano,L,1,1,5,N,45000,3,N,,1973-1986,1963-1968,N,Y,954,1,Christianity,100,30
ale,Aleut,L,2,2,4,N,13100,2,Y,,,1840-1903,N,Y,,1,Christianity,64.81,3.87
mud,"Aleut, Mednyj",N,1,1,2,N,360,0,Y,,,,N,N,,1,Christianity,70,0.6
asp,Algerian Sign Language,L,1,1,,N,,1,N,,,,N,N,,,,,
alq,Algonquin,L,1,1,4,N,6800,3,N,,1998,1980-1998,N,Y,487,1,Christianity,96,6
aiy,Ali,L,1,1,5,N,50800,1,N,,,,N,N,,1,Christianity,88,18
ald,Alladian,L,1,1,4,N,37800,3,N,,2005,1937-1968,N,Y,,1,Christianity,90,9
all,Allar,L,1,,1,Y,420,1,N,,,,N,Y,,5,Hinduism,0,
aol,Alor,L,1,1,4,N,40300,1,N,,,,N,N,,6,Islam,14,4
aqn,"Alta, Northern",L,1,1,3,N,270,0,Y,,,,N,N,,4,Ethnic Religions,10,2
agy,"Alta, Southern",L,1,1,5,N,840,2,Y,,,1970,N,Y,,4,Ethnic Religions,15,11
atv,"Altai, Northern",L,4,2,1,Y,6140,1,N,,,,N,N,,4,Ethnic Religions,0,0
alt,"Altai, Southern",L,4,2,4,N,81500,3,N,,2003,Yes,Y,Y,,4,Ethnic Religions,20.64,2
aub,Alugu,L,1,1,1,Y,3870,1,N,,,,N,N,,4,Ethnic Religions,0,0
aab,Alumu-Tesu,L,1,1,4,N,7620,1,N,,,,N,Y,,1,Christianity,55,3.07
alp,Alune,L,1,1,5,N,21900,3,N,,2012,1991-2012,N,Y,323,1,Christianity,80,12
yna,Aluo,L,1,1,1,Y,27200,1,N,,,,N,N,,4,Ethnic Religions,0,0
alz,Alur,L,2,2,5,N,2152000,4,N,1936-1955,1933-1979,1921-1985,Y,Y,,1,Christianity,96,25.92
alr,Alutor,N,1,1,1,Y,1990,0,Y,,,,N,N,,4,Ethnic Religions,0,0
avd,Alviri-Vidari,L,1,1,1,Y,1050,1,N,,,,N,Y,,6,Islam,0,0
aly,Alyawarr,L,1,1,5,N,1920,2,N,,,1994-2003,N,Y,,1,Christianity,90,40
amm,Ama,L,1,1,5,N,1030,3,N,,1990-2009,1981-1992,N,Y,991,4,Ethnic Religions,30,19
nyi,Ama,L,1,1,1,Y,181000,2,N,,,1950,N,Y,,6,Islam,2,0.4
amq,Amahai,N,1,1,5,N,80,0,Y,,,,N,N,,6,Islam,35,12
amc,Amahuaca,L,2,2,5,N,650,2,Y,,,1963-1997,N,Y,,4,Ethnic Religions,30.33,12.86
ali,Amaimon,L,1,1,5,N,2460,1,N,,,,N,N,,1,Christianity,100,27
aad,Amal,L,1,1,4,N,1150,1,N,,,,N,Y,,4,Ethnic Religions,40,8
ryn,"Amami-Oshima, Northern",L,2,2,3,N,10600,0,Y,,,,N,N,,2,Buddhism,6.36,0.96
ams,"Amami-Oshima, Southern",L,1,1,1,Y,1780,0,Y,,,,N,N,,2,Buddhism,3,0.5
amn,Amanab,L,2,2,5,N,11600,3,N,,2001,1996-1997,Y,Y,980,1,Christianity,81.78,14.96
ama,Amanaye,N,,,,N,,1,N,,,,N,N,,,,,
aie,Amara,L,1,1,5,N,260,0,Y,,,,N,N,,1,Christianity,100,19
amr,Amarakaeri,L,1,1,3,N,300,3,N,,1986-2008,1972-1976,N,Y,511,4,Ethnic Religions,10,1
aaz,Amarasi,L,1,1,4,N,75900,2,N,,,2002-2011,N,Y,1320,1,Christianity,90,6
rwm,Amba,L,2,2,5,N,66900,1,N,,,,Y,Y,,4,Ethnic Religions,49.16,10.38
utp,Amba,L,1,1,5,N,870,1,N,,,,N,Y,,1,Christianity,83,12
omb,"Ambae, East",L,1,1,5,N,6950,2,N,,,1971-1986,N,Y,,1,Christianity,95,41
nnd,"Ambae, West",L,1,1,5,N,11900,3,N,,1984,1916,N,Y,,1,Christianity,98,45
amk,Ambai,L,1,1,4,N,12700,3,N,,2010,1991-2003,N,Y,1176,1,Christianity,70,4
aew,Ambakich,L,1,1,5,N,1070,0,Y,,,,N,N,,1,Christianity,100,21
amv,Ambelau,L,1,1,4,N,8470,1,N,,,,N,N,,6,Islam,6,3
ael,Ambele,L,1,1,4,N,8780,1,N,,,,N,Y,,1,Christianity,69,6
alm,Amblong,L,1,1,5,N,340,1,N,,,,N,N,,1,Christianity,96,39
amb,Ambo,L,1,1,4,N,2730,1,N,,,,N,Y,,4,Ethnic Religions,14,7
aag,Ambrak,L,1,1,3,N,440,1,N,,,,N,N,,4,Ethnic Religions,30,2
mmg,"Ambrym, North",L,1,1,5,N,7300,1,N,,,,N,Y,,1,Christianity,90,43
tvk,"Ambrym, Southeast",L,1,1,5,N,5140,2,N,,,1949-2011,N,Y,1254,1,Christianity,95,43
apo,Ambul,L,1,1,5,N,1790,1,N,,,,N,N,,1,Christianity,95,23
abt,Ambulas,L,1,1,5,N,52400,3,N,,1974-1996,1974-1992,N,Y,927,1,Christianity,99,26
amj,Amdang,L,2,2,1,Y,137000,1,N,,,,N,N,,6,Islam,0,0
aey,Amele,L,1,1,5,N,11300,3,N,,1997,1952-1989,N,Y,978,1,Christianity,100,24
ase,American Sign Language,L,6,6,,N,,3,N,,2005,1982-1996,Y,N,,,,,
amh,Amharic,L,25,21,2,N,29451000,4,N,1840-1988,1829-1988,1824-1988,Y,Y,1260,1,Christianity,83.25,1.11
amy,Ami,N,,,,N,,0,Y,,,,N,N,,,,,
let,Amio-Gelimi,L,1,1,5,N,2980,1,N,,,,N,N,,1,Christianity,95,19
ami,Amis,L,2,2,4,N,178000,4,N,1997,1972-1991,1991,N,Y,,1,Christianity,74.16,5.93
ais,"Amis, Nataoran",N,1,1,2,N,330,0,Y,,,,N,N,,1,Christianity,82,2
amo,Amo,L,1,1,4,N,19900,1,N,,,,N,Y,,4,Ethnic Religions,20,5
alx,Amol,L,1,1,5,N,400,1,N,,,,N,Y,,1,Christianity,100,15
apg,Ampanang,L,1,1,1,Y,37900,0,Y,,,,N,N,,4,Ethnic Religions,0,0
ajz,Amri Karbi,L,19,,2,N,84600,3,N,,2010,Yes,Y,N,,5,Hinduism,6.05,
amt,Amto,L,1,1,4,N,380,1,N,,,,N,Y,,4,Ethnic Religions,25,6
adw,Amundava,L,1,1,4,N,110,0,Y,,,,N,N,,4,Ethnic Religions,50,10
amg,Amurdak,N,,,,N,,0,Y,,,,N,N,,,,,
amu,"Amuzgo, Guerrero",L,1,1,4,N,40000,3,N,,1973-2001,1953-1998,Y,Y,229,1,Christianity,95,2.9
azm,"Amuzgo, Ipalapa",L,1,1,5,N,1180,1,N,,,,N,Y,,1,Christianity,95,25
azg,"Amuzgo, San Pedro Amuzgos",L,1,1,4,N,4550,3,N,,1992,1978-1980,Y,Y,727,1,Christianity,95,8.3
anw,Anaang,L,1,1,5,N,2619000,1,N,,,,Y,Y,,1,Christianity,99,44
akg,Anakalangu,L,1,1,4,N,16400,1,N,,,,N,Y,,1,Christianity,55,6
anm,Anal,L,32,,3,N,27000,4,N,2006,1983,1949-1983,N,Y,,1,Christianity,84.06,
pda,Anam,L,1,1,5,N,1480,0,Y,,,,N,N,,1,Christianity,90,14
aan,Anambe,N,1,1,3,N,140,0,Y,,,,N,N,,4,Ethnic Religions,10,1
imi,Anamgura,L,1,1,5,N,2710,1,N,,,,N,N,,1,Christianity,90,13
bpo,Anasi,L,1,1,4,N,2800,0,Y,,,,N,N,,1,Christianity,65,5
acb,Anca,L,1,1,1,Y,390,1,N,,,,N,N,,4,Ethnic Religions,0,0
dgl,Andaandi,L,1,1,1,Y,72500,2,Y,,,1912,N,N,,6,Islam,0,0
afd,Andai,L,1,1,3,N,520,1,N,,,,N,N,,4,Ethnic Religions,15,2
ajn,Andajin,N,,,,N,,0,Y,,,,N,N,,,,,
hca,Andaman Creole Hindi,L,45,,3,N,39900,0,Y,,,,N,Y,,5,Hinduism,42.92,
ana,Andaqui,N,,,,N,,1,N,,,,N,N,,,,,
aod,Andarum,L,1,1,5,N,2460,0,Y,,,,N,N,,1,Christianity,100,13
adg,Andegerebinha,N,,,,N,,0,Y,,,,N,N,,,,,
anr,Andh,L,1,,1,Y,121000,0,Y,,,,N,Y,,5,Hinduism,0,
ani,Andi,L,1,1,1,Y,30700,2,N,,,2007,N,N,,6,Islam,0,0
bzb,Andio,L,1,1,4,N,2550,1,N,,,,N,N,,6,Islam,22,3
ano,Andoque,L,1,1,5,N,620,2,Y,,,1976,N,Y,,1,Christianity,60,20
anx,Andra-Hus,L,1,1,5,N,1950,1,N,,,,N,Y,,1,Christianity,100,14
aty,Aneityum,L,1,1,5,N,1250,4,N,1879,1863,1853-1865,N,Y,,1,Christianity,95,45
anz,Anem,L,1,1,5,N,910,1,N,,,,N,N,,1,Christianity,100,12
aby,Aneme Wake,L,1,1,5,N,1210,3,N,,1988,Yes,N,N,1011,1,Christianity,100,17
myo,Anfillo,N,1,1,4,N,4980,1,N,,,,N,N,,6,Islam,9,4.5
agm,Angaataha,L,1,1,5,N,2900,3,N,,2004,1976-1980,N,N,981,1,Christianity,95,26
aqt,Angaite,L,1,1,4,N,4440,1,N,,,,N,Y,,4,Ethnic Religions,10,3
age,Angal,L,1,1,5,N,27700,2,N,,,1990,N,Y,,1,Christianity,98,21
aoe,Angal Enen,L,1,1,5,N,42400,3,N,,2001,1968-1996,N,Y,,1,Christianity,99,32
akh,Angal Heneng,L,2,1,5,N,69800,3,N,,1978,1967,N,Y,988,1,Christianity,98.81,25.34
anp,Angika,L,92,,1,Y,1162000,1,N,,,,Y,Y,,5,Hinduism,0.08,
rme,Angloromani,L,4,4,4,N,200000,2,N,,,1979,N,N,1421,1,Christianity,71.9,9.68
aoa,Angolar,L,1,1,4,N,7160,1,N,,,,N,N,,1,Christianity,90,3.5
agg,Angor,L,1,1,5,N,2730,3,N,,2001,1973-1992,N,Y,1001,1,Christianity,100,25
aog,Angoram,L,1,1,5,N,11300,0,Y,,,,N,Y,,1,Christianity,100,15
hnh,Ani,L,1,1,3,N,1270,1,N,,,,N,Y,,4,Ethnic Religions,10,1.5
blo,Anii,L,2,2,1,Y,58900,1,N,,,,N,Y,,6,Islam,1.77,1.02
anf,Animere,L,1,1,5,N,1000,0,Y,,,,N,Y,,1,Christianity,65,21
aoi,Anindilyakwa,L,1,1,5,N,1640,2,N,,,1976-1995,N,Y,,1,Christianity,70,40
boj,Anjam,L,1,1,5,N,2790,3,N,,2000,1987-1989,Y,N,936,1,Christianity,90,23
aak,Ankave,L,1,1,4,N,3430,3,N,,1991,1986-1992,N,N,985,4,Ethnic Religions,40,5
amx,Anmatyerre,L,1,1,5,N,1190,2,N,,,2007,N,N,,1,Christianity,70,25
nun,Anong,L,2,2,5,N,13500,3,Y,,1981,2005-2010,N,Y,,4,Ethnic Religions,43.89,13.41
anj,Anor,L,1,1,5,N,1460,1,N,,,,N,Y,,1,Christianity,100,17
and,Ansus,L,1,1,4,N,7180,1,N,,,,N,N,,1,Christianity,90,4
ant,Antakarinya,N,,,,N,,0,Y,,,,N,N,,,,,
aig,Antigua and Barbuda Creole English,L,9,8,5,N,95400,1,N,,,,N,N,,1,Christianity,94.6,21.58
anu,Anuak,L,3,3,5,N,230000,4,N,2013,1962-1965,1956-2000,Y,Y,,1,Christianity,54.36,36.77
cko,Anufo,L,3,3,1,Y,202000,3,N,,2006,1993,Y,Y,,4,Ethnic Religions,4.51,1.98
aui,Anuki,L,1,1,5,N,600,2,N,,,2009,N,Y,1413,1,Christianity,90,25
auq,Anus,L,1,1,1,Y,370,0,Y,,,,N,Y,,4,Ethnic Religions,0,0
aud,Anuta,N,1,1,5,N,390,0,Y,,,,N,N,,1,Christianity,90,16
any,Anyin,L,2,2,5,N,1084000,3,N,,1997,1927-1993,Y,Y,,1,Christianity,56.22,19.06
mtb,Anyin Morofo,L,1,1,4,N,399000,1,N,,,,N,Y,,1,Christianity,60,9
pni,Aoheng,L,1,1,1,Y,4600,0,Y,,,,N,N,,4,Ethnic Religions,3,0.5
kbx,Ap Ma,L,1,1,5,N,11700,3,N,,1999,1990-2011,N,Y,,1,Christianity,99,16
