"PeopleID2","PeopleCluster","PeopleClusterSpanish","PeopleClusterGerman","PeopleClusterPortuguese","PeopleClusterFrench","JPScalePCOld","JPScalePC","PercentChristianPC","PercentEvangelicalPC","LeastReachedPC","RLG3PC","ROP2","PeopleID1","RegionCode","USCWMFocus","EthneFocus","MUPPriority","Notes","Profile","ProfileSource","Source","GoogleMapZoom","GoogleMapLat","GoogleMapLng","EditName","EditDate"
110,"Anglo-Celt","Anglo-Celta","Anglo-Kelten",,"Anglo-Celte","3.2",5,67.82,10.17,,1,"C0012",12,10,,,,,"",,,3.00,37.70,23.90,"BM",10/30/2003 0:00:00
111,"Arab, Arabian","Árabe","Araber, arabisch",,"Arabe","1.2",1,1.19,0.27,"Y",6,"C0013",10,6,"Y",,,,"",,,3.00,21.00,33.00,"BM",10/30/2003 0:00:00
112,"Arab, Hassaniya","Árabe, Hasanía","Araber, Hassaniya",,"Arabe, Hassaniya","1.2",1,0.03,0.02,"Y",6,"C0014",10,8,"Y",,,,"",,,3.00,25.80,0.14,"BM",10/30/2003 0:00:00
113,"Arab, Levant","Árabe, Levante","Araber, Levantinische",,"Arabe, Levant","2.2",3,7.70,0.28,,6,"C0015",10,6,"Y",,,,"The term “Levant”, “where the sun rises”, originally referred to the Mediterranean lands east of Italy. Today it refers to Israel, Jordon, Lebanon, Cyprus, Syria, West Bank / Gaza, and a portion of southern Turkey. The largest ethno-linguistic group in this region is the Arabs, most of whom are Muslim.
Levant Arabs are often lighter in complexion than Arabs of Arabia and the Gulf, revealing they are largely a mixture of Mediterranean peoples who were Arabized over the centuries.
Arabs of the Levant speak a version of Arabic referred to as Levantine Arabic, North and South. The way Levantine Arabic is spoken varies significantly between urban, rural, and nomadic areas.
The region of the Levant (Greater Syria, as it was known) was under Roman rule for seven centuries before being invaded by Muslim Arabs from the Arabian Peninsula shortly after the death of Mohammed in 632AD. Muslim presence in the Levant has continued to the present day, after this successful invasion. Even so, the area was predominately Christian for hundreds of years after the conquest.
The Levant has a long history of being quite cosmopolitan, with early influences from France, Italy, and the Ottoman Empire. “Travelers were astonished and attracted by the variety of races and costumes in these cities and the juxtaposition of mosques, churches and synagogues.” Levantine cities have been noted for bringing modernity and education, the antithesis of today's fundamentalist Islam.
Christianity had its beginning in the Levant, and this region has been one of the oldest multi-religious communities in the world.  However, today Christians are leaving the area if they can and Christianity is threatened with near extinction in the Levant.",,,3.00,26.00,33.00,"BM",10/30/2003 0:00:00
114,"Arab, Libyan","Árabe, Libio","Araber, Libysche",,"Arabe, Libyen","1.2",1,1.82,0.16,"Y",6,"C0016",10,6,"Y",,,,"",,,3.00,21.00,33.00,"BM",10/30/2003 0:00:00
115,"Arab, Maghreb","Árabe, Magrebí","Araber, Maghreb",,"Arabe, Maghred","1.2",1,0.50,0.38,"Y",6,"C0017",10,6,"Y",1,,,"",,,3.00,32.00,16.00,"BM",10/30/2003 0:00:00
116,"Arab, Shuwa","Árabe, Shuwa","Araber, Shuwa",,"Arabe, Shuma","1.2",1,0.32,0.23,"Y",6,"C0018",10,8,"Y",,,,"",,,4.00,9.40,22.20,"BM",10/30/2003 0:00:00
117,"Arab, Sudan","Árabe, Sudán","Araber, Sudan",,"Arabe, Soudan","1.2",1,4.76,0.29,"Y",6,"C0019",10,7,"Y",,,,"",,,3.00,24.00,32.00,"BM",10/30/2003 0:00:00
118,"Arab, Yemeni","Árabe, Yemení","Araber, Jemeniten",,"Arabe, Yéménite","1.1",1,0.00,0.00,"Y",6,"C0020",10,6,"Y",,,,"The Yemeni Arab cluster of some 24,000,000 people contains only a handful of followers of Jesus Christ. Most Yemeni Arabs live in the country of Yemen, but many live in other parts of the Arabian peninsula, and a relative few have emigrated to countries away from traditional Arab lands.
Yemen is one of the oldest centers of civilization in the Near East. The queen of Sheba who visited King Solomon was from this land.
Sana'a, the capital city of Yemen, has been an Islamic center since the 7th century. Islam is deeply imbedded in the land.
Sunni Muslims make up a little over half of the population of Yemen, living mainly in the southern portions of the country. Shia Muslims make up most of the remainder of the population, living mainly in the northern portions of the country. Most Shia Muslims are of the Zaydi sect.
The number of English speakers in Yemen is small, but English is somewhat understood in the major cities.
The literacy rate in Yemen is fairly low, and television is the most significant media platform in the country.
Pray that Yemeni Arabs living in lands that are open to the Gospel message will encounter real followers of Christ and will learn accurately of who Jesus is and what he has done for mankind. Pray also for Christian radio and television with excellent programming to become widely available throughout the entire Arabian peninsula.",,,3.00,19.00,39.00,"BM",10/30/2003 0:00:00
119,"Armenian","Armenio","Armenier",,"Arménien","3.2",4,94.17,8.35,,1,"C0021",12,5,,,,,"",,,3.00,45.00,35.00,"BM",10/30/2003 0:00:00
120,"Assamese","Asamés","Assamesen",,"Assamais","1.1",1,1.71,0.00,"Y",6,"C0022",21,4,"Y",,,,"The Assamese cluster includes those people groups who primarily speak the Assamese language. This excludes from the cluster many other people groups living in Assam, and it excludes from the cluster the large number of people groups which have a minority of individuals speaking Assamese.
This cluster is one of the smaller clusters within the South Asian Peoples Affinity Bloc. It primarily includes peoples living in or near the Indian state of Assam. Assam is in the far northeast of India, bordering Bhutan and Bangladesh.
The Assamese language has the full Bible available, and it has several other resources available as well, such as the Jesus film.
This cluster is made up of both Muslims and Hindus, about equal numbers of each in terms of total population. However, there are many more Hindu people groups than there are Muslim groups in the cluster.
About 2/3 of the workforce of Assam is employed in agricultural production, especially producing high quality teas as well as rice and citrus. Assam has one of the best networks of higher education institutions in northeast India, and even in the entire country.
This cluster was about 2% Christian in the 2001 census, with an unknown number of evangelicals. Can some of these Christians be challenged to reach the remainder of their cluster for Christ? What do they need in the way of preparation and equipping?",,,5.00,25.30,93.00,"BM",10/30/2003 0:00:00
121,"Assyrian / Aramaic","Asirio / Arameo","Assyrer / Aramäer",,"Assyrien / Araméen","2.2",2,89.75,1.12,,1,"C0023",10,6,,,,,"",,,3.00,43.00,37.00,"BM",10/30/2003 0:00:00
122,"Atlantic","Atlántico","Atlantische Völker",,"Atlantique","3.1",4,14.56,2.29,,6,"C0024",22,8,,,,,"",,,5.00,10.50,-14.00,"BM",10/30/2003 0:00:00
123,"Atlantic-Jola","Atlántico-Jola","Atlantische Völker - Jola",,"Atlantique-Jola","2.2",3,18.18,0.70,,6,"C0025",22,8,,,,,"",,,5.00,13.00,-10.00,"BM",10/30/2003 0:00:00
124,"Atlantic-Wolof","Atlántico-Wolof","Atlantische Völker - Wolof",,"Atlantique-Wolof","1.1",1,0.05,0.01,"Y",6,"C0026",22,8,"Y",,,,"The Atlantic-Wolof cluster is formed simply, by including all people groups (named Wolof), speaking a Wolof language. This cluster is one of the 54 clusters within the Sub-Saharan Affinity Bloc.
The Wolof live primarily in Senegal and to a lesser extent, in Gambia. The Wolof culture and traditions of governance and caste have dominated portions of Senegal for the past 800 years. There has been a strong sense of caste within the culture, but this sense is lessening.
The Wolof are almost entirely Muslim, but their version of Islam is quite tolerant. The great majority are Sufi Muslims, which tend to emphasize spirituality and meditation.
Islam is practiced on two levels in Wolof society. The visible level is ""orthodox"" Islam with its ritual prayers, fasts and festivals. But at the heart of their beliefs and practices is folk Islam, a syncretistic mix of Sufi Islam and African traditional religion.
A strong sense of honor / dishonor pervades Wolof society. There is no greater way of humilating someone than to bring public dishonor to him. People are sometimes driven to accumulate large debts in order to meet community expectations and not be embarrased.
The Wolof highly value their language. Great importance is placed on poetry and proverbs, of which there are thousands. Workers working in the Wolof language should make every effort to master the language, since it is so important to the people.
The Bible is available in the main Wolof language, as well as other good resources such as the Jesus film and Gospel recordings.",,,5.00,14.00,-13.80,"BM",10/30/2003 0:00:00
125,"Aymara","Aymara","Aymara",,"Aymara","3.2",5,92.73,18.31,,1,"C0027",16,11,,,,,"",,,4.00,-19.00,-67.00,"BM",10/30/2003 0:00:00
126,"Azerbaijani","Azerbaiyano","Aserbaidschaner",,"Azerbaijanais","1.2",1,0.29,0.11,"Y",6,"C0028",24,5,"Y",10,"Y",,"",,,3.00,44.00,48.00,"BM",10/30/2003 0:00:00
127,"Aztec","Azteca","Azteken",,"Aztèque","3.1",4,94.17,4.52,,1,"C0029",16,12,,,,,"",,,5.00,26.80,-106.00,"BM",10/30/2003 0:00:00
128,"Bali-Sasak","Bali-Sasak","Bali-Sasak",,"Sasak-Bali","1.2",1,0.59,0.37,"Y",6,"C0030",17,2,"Y",,,,"",,,6.00,-7.00,115.80,"BM",10/30/2003 0:00:00
129,"Baloch","Beluchi","Belutschen",,"Baloch","1.1",1,0.00,0.00,"Y",6,"C0031",14,5,"Y",9,,,"The Baloch cluster of peoples includes the native Baloch tribes who originate in Balochistan. This is a region of southwestern Pakistan, southeastern Iran, and a small section of southwestern Afghanistan. These tribes speak one or more of the three Baloch languages, depending on where they live in the region.
The Baloch tribes are overwhelmingly Sunni Muslim. Balochs have long resisted Islamic extremism, but Talibanism is a threat to this region and its cultural values.
Baluchi customs and traditions are conducted according to tribal laws. These strong traditions and cultural values are important to Baluch people and have enabled them to keep their distinctive ancient cultural identity and way of life with little change to this day.
Literacy rates given for all three Baloch languages are extremely low, from 1-5%. The New Testament is available in the three Baloch languages, but if people can't read the value of scripture is greatly reduced. However, the Gospel is potentially available in oral form via recordings and videos.
Only a relative few Baloch have become followers of Christ. Exact numbers are not available, but whatever the true numbers may be they are much too low to make a strong influence on the society.
Almost all of the Baloch people live in areas that are quite difficult for Christians to enter for purposes of Christian ministry. However, more than one million people in this cluster live in Iran, which has a growing number of followers of Christ. Perhaps some Persian Christians will be led by the Lord's Spirit to communicate the good news about Jesus to some Baloch, and will be able to disciple them. Pray for this, and for workers to find creative means of access to these people who are so cutoff from the Gospel.",,,3.00,27.90,56.60,"BM",10/30/2003 0:00:00
130,"Baltic","Báltico","Balten",,"Baltique","3.1",4,75.97,3.77,,1,"C0032",12,9,,,,,"",,,5.00,51.00,8.70,"BM",10/30/2003 0:00:00
131,"Banjar of Kalimantan","Banjar de Kalimantan","Banjaresen von Kalimantan",,"Banjar du Kalimantan","1.2",1,2.77,0.68,"Y",6,"C0033",17,2,"Y",,,,"",,,5.00,2.60,117.70,"BM",10/30/2003 0:00:00
132,"Bantu, Makua-Yao","Bantú, Makua-Yao","Bantu, Makua-Yao",,"Bantu, Makua-Yao","3.2",5,39.87,16.37,,1,"C0035",22,7,,,,,"",,,3.00,-5.60,38.20,"BM",10/30/2003 0:00:00
133,"Barito of Kalimantan","Barito de Kalimantan","Barito von Kalimantan",,"Barito du Kalimantan","3.1",4,9.36,2.64,,4,"C0037",17,2,,,,,"",,,5.00,0.70,114.40,"BM",10/30/2003 0:00:00
134,"Basque","Vasco","Basken",,"Basque","2.2",2,84.07,0.62,,1,"C0038",12,10,,,,,"",,,4.00,44.00,0.68,"BM",10/30/2003 0:00:00
135,"Batak-Nias of Sumatra","Batak-Nias de Sumatra","Batak-Nias von Sumatra",,"Batak-Nias du Sumatra","3.2",5,67.06,11.65,,1,"C0039",17,2,,,,,"",,,5.00,4.40,102.60,"BM",10/30/2003 0:00:00
136,"Bedouin, Arabian","Beduino, Árabe","Beduinen, arabische",,"Bédouin, Arabe","1.2",1,0.39,0.06,"Y",6,"C0040",10,6,"Y",,"Y",,"",,,3.00,28.00,39.20,"BM",10/30/2003 0:00:00
137,"Bedouin, Saharan","Beduino, Sahariano","Beduinen, Sahara",,"Bedouin, Saharien","1.1",1,0.00,0.00,"Y",6,"C0041",10,6,"Y",1,,,"The Saharan Bedouin cluster includes the Bedouin peoples of North Africa, but not the Bedouin of Arabia, which are in a different cluster. This is one of the 19 clusters in the Arab World Affinity Bloc.  This large Bloc includes more than 345 million individuals.
Islam's prophet Mohammed was born and raised in the Bedouin tribe of the Quraish. The first converts to Islam came from the Bedouin tribes living in and around Mecca. Islam is embedded and deeply rooted in Bedouin culture.
Bedouin society has a strict code of honor which dictates proper behavior for all members, including children. Although modernization has changed the Bedouin lifestyle somewhat, emphasis is placed on teaching children to carry on traditional ways of life, and the advancement of modern technology is not considered important to children's education.
Modern societies have made the traditional nomadic Bedouin lifestyle less attractive since it is demanding and often dangerous. Because of that, many tribes have settled in urban areas. Today, the Arabs have one of the highest rates of urbanization in the world.
Prayer is an integral part of Bedouin life. As there are no formal mosques in the desert, Bedouins living in the traditional manner pray where they are, facing Mecca and performing the ritual washing, preferably with water. Since water is not always readily available, they 'wash' with sand instead.
Bedouins are almost untouched by the gospel. Christian resources are available in the Arabic language, the Bedouin's mother tongue.
Please pray Saharan Bedouins will be able to adjust to modern life, improve literacy rates, and gain skills to make them employable. Most of all, pray they be given an interest in Jesus and an understanding that He is deity, the Son of God, who did indeed die for their sins.",,,4.00,27.40,7.90,"BM",10/30/2003 0:00:00
138,"Beja","Beja","Bedscha",,"Beja","1.1",1,0.00,0.00,"Y",6,"C0042",13,7,"Y",2,"Y",,"The Beja are one of the Cushitic peoples, living primarily in Sudan but also in Eritrea and Egypt. The word ""Cushitic"" is derived from the Biblical character Cush,  the oldest son of Ham, son of Noah.
Some Beja are nomadic, and some are farmers and livestock producers.
Most Beja speak the Bedawiyet (or Beja) language as their main language. Bedawiyet is the prestigious language for the Beja because it conforms to the moral and ethical values of the community. Arabic is considered the language of modernity, but Bedawiyet communicates the highest moral and cultural values of the society. Beja poetry is typically in the Bedawiyet language.
The Bejas attach high importance to their hair. Their prominent crown of fuzzy hair (called tiffa in their language) has characterized the Beja for centuries.
Beja worshiped Isis at Philae until the 6th century. After the temple was closed down in the 6th century by the Byzantine emperor Justinian, Beja converted to Christianity under the influence of the three Nubian Christian Kingdoms that flourished along the Nile. In the 10th century Islam spread and gained popularity among the Beja people and today almost all Beja are Muslims.
Most Beja peoples are Sufi Muslim, but Islamic law is always trumped by the ancient Beja tribal law. Black magic is practiced against enemies, and sacred fire is used to ward off spirits causing sickness and accidents.",,,4.00,19.20,34.90,"BM",10/30/2003 0:00:00
139,"Bengali","Bengalí","Bengalen",,"Bengali","1.1",1,0.13,0.00,"Y",6,"C0043",21,4,"Y",3,,,"The huge Bengali cluster is rather loosely defined. It primarily includes speakers of the Bengali language, but also includes quite a number of other castes and tribes, or ""communities"" of Bangladesh, North India, and Nepal. The principle unifying factor may be geography, since most of these communities are native to the region of Bengal, now split between India and Bangladesh.
The Bengali are of diverse origin, having emerged from the confluence of various communities that entered the region over the course of many centuries. Remnants of civilisation in the greater Bengal region date back 4,000 years.
Most of the Bengali in Bangladesh are practitioners of Sunni Islam, while the majority of the Bengali in West Bengal follow Hinduism. Following the arrival of the Muslims in the 13th century, most of the residents of eastern Bengal converted to Islam, while Hinduism became the predominant religion in the western region.  
The very large Shaikh community in this cluster is Muslim. The Shaikh in Bangladesh, India, and Pakistan sum to more than 200 million people, almost all of which are Muslim. This community dominates the Bengali cluster, in terms of number of people.
Bengali are scattered around the word in the present day, including many who live where the Gospel can easily reach them. Pray the Lord will be drawing these people to Himself, and that they will be given a desire to share Jesus with others of Bengali origin. Pray especially for those in the Shaikh community, that the Lord will send workers to them and that they will be responsive.",,,3.00,29.00,75.00,"BM",10/30/2003 0:00:00
140,"Benue","Benue","Benue",,"Benue","3.2",5,76.12,25.57,,1,"C0044",22,8,,,,,"",,,5.00,9.70,9.60,"BM",10/30/2003 0:00:00
141,"Berber-Saharan","Bereber-Sahariano","Berber-Sahara",,"Berbère-Saharien","1.1",1,0.03,0.01,"Y",6,"C0045",10,6,"Y",,,,"",,,4.00,32.00,7.00,"BM",10/30/2003 0:00:00
142,"Berber-Kabyle","Bereber-Kabyle","Berber-Kabyle",,"Berbère-Kabyle","1.2",1,2.08,1.56,"Y",6,"C0046",10,6,"Y",,,,"",,,4.00,39.00,5.70,"BM",10/30/2003 0:00:00
143,"Berber-Riff","Bereber-Rifeño","Berber-Riff",,"Berbère-Riff","1.1",1,0.06,0.01,"Y",6,"C0047",10,6,"Y",,"Y",,"The ""Rif"" refers to a mountainous region of northern Morocco, bordering the Mediterranean Sea. The Rif has been inhabited by Berbers since prehistoric times. They have their own Berber language, called Tarifit.
Rifian Berbers, ensconced in their mountains, have lived according to a code of honor, hospitality and revenge within their system of clans and kinship networks, allowing them to regulate justice and social order without the presence of state institutions for centuries. Unrest in the Rif is based in their tumultuous history as a battered people on Morocco's northern periphery.
Good resources are available in the Tarifit language, including the New Testament, the Jesus film, and audio recordings.
There are substantial numbers of Rif Berbers living in Europe, especially in the Netherlands and France. The Gospel can be found in these countries if the Berbers will just look for it. Pray that Christian workers in Europe will be lead to the Rifi Berbers, most of whom have never heard the good news about Jesus with clarity and accuracy. Pray also for Christian radio to be broadcast widely throughout the Rif region of Morocoo.",,,5.00,37.70,-1.30,"BM",10/30/2003 0:00:00
144,"Berber-Shawiya","Bereber-Shawiya","Berber-Shawiya",,"Berbère-Shawija","1.1",1,0.00,0.00,"Y",6,"C0048",10,6,"Y",,,,"The Berber-Shawiya (Shawiya means ""shepherds"") cluster is one of the five Berber clusters within the Arab World Affinity Bloc. Berbers have been strongly influenced by Arabs, their language, culture, and religion, yet they retain a strong sense of separate identity, especially those in rural areas.
The Shawiya  Berbers have their own language, called Tachawit. These people primarily reside in and near the Aures Mountains in eastern Algeria, although many have migrated to other parts of North Africa and to Europe.
The Arabic script is usually used to write the Tachawit language, but there is increasing usage of Latin script.
Scripture portions are available in the Tachawit language, as are the Jesus film and Gospel recordings.
Nearly all Shawiya Berbers are Muslim, with very few Christians among them. However, the larger Kabyle Berber group has a rapidly growing number of Christians within their number. Pray some Christian Kabyle Berbers will remember to take the Gospel to their Shawiya neighbors.",,,4.00,43.00,10.60,"BM",10/30/2003 0:00:00
145,"Berber-Shilha","Bereber-Shilha","Berber-Shilha",,"Berbère-Shilha","2.2",3,7.48,0.17,,6,"C0049",10,6,"Y",,,,"",,,4.00,36.00,0.34,"BM",10/30/2003 0:00:00
146,"Bhil","Bhil","Bhil",,"Bhil","1.1",1,0.83,0.00,"Y",5,"C0050",21,4,"Y",,,,"The Bhil cluster is one of 27 clusters within the South Asian Affinity Bloc, and is identified as a ""Pre-Dravidian / other"" cluster. These are primarily tribal peoples, outside the caste system.
The Bhil (the largest people group in this cluster) is one of the largest Scheduled Tribes in India. Their history goes back to at least the sixth century AD.
The literacy rate for the Bhil is about 5-20% depending on location. They worship Mahadeo and other village deities like Sitala Devi.
The Bhil tribe in India speaks 88 languages, with Hindi speakers making up the largest number of individuals.
More than 100,000 individuals in the Bhil tribes have reported themselves as Christians to the census, with an unknown number of evangelicals in this number. Pray these Christians will be discipled and will become mature and zealous followers of Jesus.",,,5.00,29.20,71.60,"BM",10/30/2003 0:00:00
147,"Bhojpur-Maithili","Bopurí-Maithili","Bhojpur-Maithili",,"Bhojpur-Maithili","1.1",1,0.00,0.00,"Y",5,"C0051",21,4,"Y",,,,"The Bhojpur-Maithili cluster is one of the ""Indo Aryan"" clusters. The peoples in these clusters arrived in India from the northwest about 3,000 years ago, and are responsible for the Hindu religion and social hierarchy which dominates the whole region. ""Bhojpuri"" is both a region (in North India and Nepal) and a language. Maithili is a language of that same region. The boundaries of this cluster are loosely defined in terms of the people groups included.",,,5.00,23.90,84.50,"BM",10/30/2003 0:00:00
148,"Bhutanese","Butanés","Bhutaner",,"Bouthanais","1.1",1,0.02,0.00,"Y",2,"C0052",23,4,"Y",,"Y",,"",,,5.00,25.70,91.00,"BM",10/30/2003 0:00:00
149,"Bihari","Bihari","Bihari",,"Bihari","2.2",3,8.12,0.64,,5,"C0053",21,4,"Y",,,,"",,,5.00,22.50,83.30,"BM",10/30/2003 0:00:00
150,"Bouyei","Bouyei","Bouyei",,"Bouyei","1.2",1,0.65,0.16,"Y",4,"C0054",20,3,"Y",6,,,"",,,5.00,21.20,105.70,"BM",10/30/2003 0:00:00
152,"Bugi-Makassar of Sulawesi","Bugi-Makassar de Célebes","Bugi-Makassar von Sulawesi",,"Bugi-Makassar of Sulawesi","1.2",1,1.40,0.43,"Y",6,"C0056",17,2,"Y",,,,"",,,5.00,1.20,120.80,"BM",10/30/2003 0:00:00
153,"Bungku-Bajau","Bungku-Bajau","Bungku-Bajau",,"Bungku-Bajau","2.2",3,8.79,1.25,,6,"C0057",17,2,"Y",,,,"",,,5.00,1.50,117.40,"BM",10/30/2003 0:00:00
154,"Burmese","Birmano","Bamar",,"Birman","1.2",1,0.35,0.06,"Y",2,"C0058",23,2,"Y",7,,,"",,,5.00,18.90,98.00,"BM",10/30/2003 0:00:00
