"ROL3","ROG3","LangAltName","NameType","Source","EditName","EditDate"
"aii",,"Van","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Urmi","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Tina","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Tergawar","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Solduz","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Shamezdin","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Sapna (Aradhin)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Salamas","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Central Assyrian (Anhar)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Nochiya","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Mar Bishu","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Jilu","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Iranian Koine (General Urmi)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Inishke","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Gavar","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Dez","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Benatha","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Daudiya","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Urmi Assyrian (Sipurghan)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aii",,"Northern Assyrian (Baz)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aas","TZ","Asá","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aas","TZ","Asak","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aaz",,"Ro'is Hero (Kopa)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aaz",,"Ro'is Tais Nonof","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aba",,"Kos (Khos)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"abh",,"Balkh Arabic","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"abl",,"Tulangbawang","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"abl",,"Melinting","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"abl",,"Sukadana","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"abn",,"Otapha (Otabha)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"abq",,"Ashkaraua (Ashkar)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"abq",,"Ashxar","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"abs",,"Dobo Malay","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"abz",,"Abui Barat","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"abz",,"Abui Selatan","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ace",,"Pidie (Pedir)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ace",,"Timu","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ach",,"Chopi","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ach",,"Dhopaluo (Chope)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"acn",,"Husa (Chintaw)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"acn",,"Xiandao","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"acp",,"Bobi","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"acp",,"Randeggi","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"acp",,"Boroma (Taboroma)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"acq",,"Ta'izzi","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"acr",,"Cubulco Achi","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"acr",,"Rabinal Achi","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alc",,"Aksanás (Aksana)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ale",,"Atkan","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ale",,"Attuan","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ale",,"Bering","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ale",,"Beringov (Atkan)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ale",,"Eastern Aleut (Pribilof Aleut)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ale",,"Unalaskan","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ale",,"Unangan","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ale",,"Unangany","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ale",,"Western Aleut (Atka)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aln",,"Northwest","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aln",,"Southern","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aln",,"Gheg","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aln",,"Central","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aln",,"Northeast","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alp",,"Central East Alune (Buriah-Weth-Laturake)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alp",,"Central West Alune (Niniari-Piru-Riring-Lumoli)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alp",,"North Coastal Alune (Nikulkan-Murnaten-Wakolo)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alp",,"South Alune (Rambatu-Manussa-Rumberu)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alq",,"Southern Algonquin (Nipissing)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alq",,"Northern Algonquin","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alr",,"Alutorskij (Alutor Proper)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"als",,"Cham (Çam)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"als",,"Lab (Labërisht)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"als",,"Northern","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"als",,"Tosk","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"als",,"Cham","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alt",,"Talangit (Chuy)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aab","NI","Alumu","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"acz",,"Gathuk (Western Acheron)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"acz",,"Gandok (Eastern Acheron)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"acz",,"Garong","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ada",,"Ada","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alt",,"Teleut","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alt",,"Southern Altai","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alu",,"'Are'are","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alu",,"Marau (Marau Sound)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alw",,"K'abeena","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alw",,"Wanbasana (Alaba)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alx",,"Arang Mol","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alx",,"Alang Mol","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"alz",,"Ngora","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ami",,"Kwangfu","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ami",,"Tavalong-Vataan (Kuangfu)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ami",,"Taitung","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ami",,"Southern Amis (Hengch'un Amis)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ami",,"Northern Amis (Nanshi Amis)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ami",,"Hsiukulan Ami","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ami",,"Central Amis (Haian Ami)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ami",,"Peinan","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"amk",,"Ambai (Wadapi-Laut)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aml",,"War-Khasi","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"amu",,"Amuzgo del Norte","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"amu",,"Amuzgo del Sur","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"amw",,"Bakh'a (Bax'a)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"amw",,"Jub-'adin (Jubb 'Adi:n)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"amw",,"Maalula","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aau",,"Up-river","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aau",,"Down-river","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aau",,"Central Abau","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aaw",,"Arawe","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aaz",,"Kotos","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aaz",,"Ro'is","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afe",,"Afrike (Aferike)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afe",,"Mgbenege (Ngbenege)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afe",,"Okworogung (Ukworogung)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afo",,"Mbeji","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afr",,"Cape Afrikaans (West Cape Afrikaans)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afs",,"Mexico Afro-Seminole","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"afs",,"Texas Afro-Seminole","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"agg",,"Nai (Central Angor)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"agg",,"Samanai (Southern Angor)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"agh",,"Buru (Bor)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"agh",,"Leboro","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"agj",,"Aliyu Amba-Ankober","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"agj",,"Shonke-T'allaha","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ags",,"Upper Esimbi","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ags",,"Lower Esimbi","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"agx",,"Agul","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"agx",,"Fit'e","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"agx",,"Gequn (Burkikhan)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"agx",,"Koshan (Q'ushan)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"agx",,"Tsirkhe","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahg",,"Kemanat","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahg",,"Kwolasa (Kwolacha)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahg",,"Qwarina","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahg",,"Qwara","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahg",,"Qimant (Chemant)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahg",,"Qemant","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahg",,"Kimant","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahg",,"Kemant","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahg",,"Dembiya (Dambya)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ahg",,"Kamant","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"aas","TZ","Asax","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aas","TZ","Assa","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aas","TZ","Il Konono","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aas","TZ","Lamanik","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aas","TZ","Dorobo","LP","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aas","TZ","Ndorobo","LP","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aat","GR","Arberichte","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aat","GR","Arvanitic","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aat","GR","Arvanitika","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aau","PP","Green River","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aaw","PP","Arawe","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aaw","PP","Pililo","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aax","ID","Dumut","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aax","ID","Kambon","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aax","ID","Kwem","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aax","ID","Mandobbo","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aax","ID","Nub","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aax","ID","Wambon","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aax","ID","Kaeti","LP","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aaz","ID","Timor Amarasi","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aaz","ID","Uab Meto","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aba","IV","Abbé","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aba","IV","Abbey","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"aba","IV","Abi","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"abb","CM","Abaw","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"abb","CM","Bo","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"abb","CM","Bon","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"abc","RP","Ambala Agta","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"abc","RP","Ambala Sambal","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"abd","RP","Abiyan","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"abd","RP","Camarinas Norte Agta","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"abe","CA","Abenaki","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"abe","CA","Abenaqui","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"abe","CA","Saint Francis","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"add","CM","Arderi","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"add","CM","Dzodzinka","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"add","CM","Lidzonka","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"add","NI","Adiri","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"ade","GH","Bidire","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"ade","TO","Bedere","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"ade","TO","Bidire","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"ade","TO","Gadre","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"ade","TO","Gidire","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adf","MU","Dhofari","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adf","MU","Zofari","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adg","AS","Andigibinha","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adg","AS","Antekerrepinhe","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adh","UG","Dhopadhola","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adi","CH","Abor","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adi","CH","Adi-Bokar","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adi","CH","Bengni-Boga'er","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adi","CH","Boga'er","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adi","CH","Lhoba","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adi","CH","Lho-Pa","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adi","IN","Abhor","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adi","IN","Abor","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adi","IN","Boga'er Luoba","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adi","IN","Lhoba","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adi","IN","Luoba","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adj","IV","Adjukru","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adj","IV","Adyoukrou","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adj","IV","Adyukru","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adj","IV","Ajukru","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adl","IN","Adi","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adl","IN","Adi-Gallong","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adl","IN","Adi-Galo","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adl","IN","Gallong","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adl","IN","Galo","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"adl","IN","Galong","LA","Ethnologue 17th Edition","BM",5/24/2013 0:00:00
"ajg",,"Dogo","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ajg",,"Hwe (Ehoue)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ajg",,"Sikpi (Shikpi)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ajg",,"Tado (Tadou)","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
"ajz",,"Upper Amri","LA","Ethnologue 17, listed as dialects","BM",9/19/2014 0:00:00
