"ROL3","Language","ROG3","EditName","EditDate"
"abt","Ambulas","PP","BM",6/27/2013 0:00:00
"abu","Abure","IV","BM",9/17/2008 0:00:00
"abv","Arabic, Baharna Spoken","BA","BM",9/17/2008 0:00:00
"abw","Pal","PP","BM",9/17/2008 0:00:00
"abx","Inabaknon","RP","BM",6/27/2013 0:00:00
"aby","Aneme Wake","PP","BM",12/17/2010 0:00:00
"abz","Abui","ID","BM",9/17/2008 0:00:00
"aca","Achagua","CO","BM",12/17/2010 0:00:00
"acb","Anca","NI","BM",9/17/2008 0:00:00
"acd","Gikyode","GH","BM",6/27/2013 0:00:00
"ace","Aceh","ID","BM",12/17/2010 0:00:00
"acf","Saint Lucian Creole French","ST","BM",6/27/2013 0:00:00
"ach","Acholi","UG","BM",6/27/2013 0:00:00
"acm","Arabic, Mesopotamian Spoken","IZ","BM",9/17/2008 0:00:00
"acn","Achang","CH","BM",6/27/2013 0:00:00
"acp","Acipa, Eastern","NI","BM",9/17/2008 0:00:00
"acq","Arabic, Taizzi-Adeni Spoken","YM","BM",9/17/2008 0:00:00
"acr","Achi","GT","BM",6/27/2013 0:00:00
"act","Achterhoeks","NL","BM",12/17/2010 0:00:00
"acu","Achuar-Shiwiar","PE","BM",6/27/2013 0:00:00
"acv","Achumawi","US","BM",9/17/2008 0:00:00
"acw","Arabic, Hijazi Spoken","SA","BM",9/17/2008 0:00:00
"acx","Arabic, Omani Spoken","MU","BM",9/17/2008 0:00:00
"acy","Arabic, Cypriot Spoken","CY","BM",9/17/2008 0:00:00
"acz","Acheron","SU","BM",9/17/2008 0:00:00
"ada","Dangme","GH","BM",6/27/2013 0:00:00
"adb","Adabe","TT","BM",9/17/2008 0:00:00
"add","Dzodinka","CM","BM",9/13/2013 0:00:00
"ade","Adele","TO","BM",6/27/2013 0:00:00
"adf","Arabic, Dhofari Spoken","MU","BM",9/17/2008 0:00:00
"adg","Andegerebinha","AS","BM",9/17/2008 0:00:00
"adh","Adhola","UG","BM",6/27/2013 0:00:00
"adi","Adi","IN","BM",6/27/2013 0:00:00
"adj","Adioukrou","IV","BM",6/27/2013 0:00:00
"adl","Adi, Galo","IN","BM",12/17/2010 0:00:00
"adn","Adang","ID","BM",9/17/2008 0:00:00
"ado","Abu","PP","BM",6/27/2013 0:00:00
"adq","Adangbe","GH","BM",9/17/2008 0:00:00
"adr","Adonara","ID","BM",9/17/2008 0:00:00
"ads","Adamorobe Sign Language","GH","BM",9/17/2008 0:00:00
"adt","Adnyamathanha","AS","BM",9/17/2008 0:00:00
"adu","Aduge","NI","BM",9/17/2008 0:00:00
"adw","Amundava","BR","BM",9/17/2008 0:00:00
"adx","Tibetan, Amdo","CH","BM",9/17/2008 0:00:00
"ady","Adyghe","RS","BM",6/27/2013 0:00:00
"adz","Adzera","PP","BM",6/27/2013 0:00:00
"aeb","Arabic, Tunisian Spoken","TS","BM",6/27/2013 0:00:00
"aec","Arabic, Saidi Spoken","EG","BM",9/17/2008 0:00:00
"aed","Argentine Sign Language","AR","BM",9/17/2008 0:00:00
"aee","Pashai, Northeast","AF","BM",9/17/2008 0:00:00
"aek","Haeke","NC","BM",9/17/2008 0:00:00
"ael","Ambele","CM","BM",9/17/2008 0:00:00
"aem","Arem","VM","BM",9/17/2008 0:00:00
"aen","Armenian Sign Language","AM","BM",9/17/2008 0:00:00
"aeq","Aer","PK","BM",9/17/2008 0:00:00
"aer","Arrernte, Eastern","AS","BM",9/17/2008 0:00:00
"aeu","Akeu","CH","BM",9/17/2008 0:00:00
"aew","Ambakich","PP","BM",9/17/2008 0:00:00
"aey","Amele","PP","BM",6/27/2013 0:00:00
"aez","Aeka","PP","BM",12/17/2010 0:00:00
"afb","Arabic, Gulf Spoken","IZ","BM",9/17/2008 0:00:00
"afd","Andai","PP","BM",9/17/2008 0:00:00
"afe","Utugwang-Irungene-Afrike","NI","BM",5/16/2013 0:00:00
"afg","Afghan Sign Language","AF","BM",5/17/2013 0:00:00
"afi","Chini","PP","BM",9/17/2008 0:00:00
"afk","Nanubae","PP","BM",9/17/2008 0:00:00
"afn","Defaka","NI","BM",9/17/2008 0:00:00
"afo","Eloyi","NI","BM",9/17/2008 0:00:00
"afp","Tapei","PP","BM",9/17/2008 0:00:00
"afr","Afrikaans","SF","BM",6/27/2013 0:00:00
"afs","Afro-Seminole Creole","MX","BM",9/17/2008 0:00:00
"aft","Afitti","SU","BM",9/17/2008 0:00:00
"afu","Awutu","GH","BM",9/17/2008 0:00:00
"afz","Obokuitai","ID","BM",12/17/2010 0:00:00
"aga","Aguano","PE","BM",5/31/2013 0:00:00
"agb","Legbo","NI","BM",9/17/2008 0:00:00
"agc","Agatu","NI","BM",6/27/2013 0:00:00
"agd","Agarabi","PP","BM",6/27/2013 0:00:00
"age","Angal","PP","BM",12/17/2010 0:00:00
"agf","Arguni","ID","BM",9/17/2008 0:00:00
"agg","Angor","PP","BM",6/27/2013 0:00:00
"agh","Ngelima","CG","BM",9/17/2008 0:00:00
"agi","Agariya","IN","BM",9/17/2008 0:00:00
"agj","Argobba","ET","BM",9/17/2008 0:00:00
"agk","Agta, Isarog","RP","BM",9/17/2008 0:00:00
"agl","Fembe","PP","BM",9/17/2008 0:00:00
"agm","Angaataha","PP","BM",6/27/2013 0:00:00
"agn","Agutaynen","RP","BM",6/27/2013 0:00:00
"ago","Tainae","PP","BM",9/17/2008 0:00:00
"agq","Aghem","CM","BM",12/17/2010 0:00:00
"agr","Awajun","PE","BM",6/27/2013 0:00:00
"ags","Esimbi","CM","BM",10/25/2010 0:00:00
"agt","Agta, Central Cagayan","RP","BM",6/27/2013 0:00:00
"agu","Awakateko","GT","BM",6/27/2013 0:00:00
"agv","Dumagat, Remontado","RP","BM",5/16/2013 0:00:00
"agw","Kahua","BP","BM",6/27/2013 0:00:00
"agx","Aghul","RS","BM",6/27/2013 0:00:00
"agy","Alta, Southern","RP","BM",12/17/2010 0:00:00
"agz","Agta, Mt. Iriga","RP","BM",9/17/2008 0:00:00
"aha","Ahanta","GH","BM",12/17/2010 0:00:00
"ahb","Axamb","NH","BM",12/17/2010 0:00:00
"ahg","Qimant","ET","BM",12/17/2010 0:00:00
"ahh","Aghu","ID","BM",9/17/2008 0:00:00
"ahi","Aizi, Tiagbamrin","IV","BM",9/17/2008 0:00:00
"ahk","Akha","BM","BM",6/27/2013 0:00:00
"ahl","Igo","TO","BM",6/27/2013 0:00:00
"ahm","Aizi, Mobumrin","IV","BM",9/17/2008 0:00:00
"ahn","Ahan","NI","BM",9/17/2008 0:00:00
"aho","Ahom","IN","BM",5/31/2013 0:00:00
"ahp","Aizi, Aproumu","IV","BM",9/17/2008 0:00:00
"ahr","Ahirani","IN","BM",9/17/2008 0:00:00
"ahs","Ashe","NI","BM",9/17/2008 0:00:00
"aht","Ahtena","US","BM",9/17/2008 0:00:00
"aia","Arosi","BP","BM",6/27/2013 0:00:00
"aib","Ainu","CH","BM",9/17/2008 0:00:00
"aic","Ainbai","PP","BM",9/17/2008 0:00:00
"aie","Amara","PP","BM",9/17/2008 0:00:00
"aif","Agi","PP","BM",9/17/2008 0:00:00
"aig","Antigua and Barbuda Creole English","AC","BM",9/17/2008 0:00:00
"aih","Ai-Cham","CH","BM",9/17/2008 0:00:00
"aii","Assyrian Neo-Aramaic","IZ","BM",6/27/2013 0:00:00
"aij","Lishanid Noshan","IS","BM",9/17/2008 0:00:00
"aik","Ake","NI","BM",9/17/2008 0:00:00
"ail","Aimele","PP","BM",9/17/2008 0:00:00
"aim","Aimol","IN","BM",7/16/2013 0:00:00
"ain","Ainu","JA","BM",6/27/2013 0:00:00
"aio","Aiton","IN","BM",9/17/2008 0:00:00
"aip","Burumakok","ID","BM",9/17/2008 0:00:00
"aiq","Aimaq","AF","BM",9/17/2008 0:00:00
"air","Airoran","ID","BM",9/17/2008 0:00:00
"ais","Amis, Nataoran","TW","BM",9/17/2008 0:00:00
"aiw","Aari","ET","BM",12/17/2010 0:00:00
"aix","Aighon","PP","BM",9/17/2008 0:00:00
"aiy","Ali","CT","BM",9/17/2008 0:00:00
"aja","Aja","OD","BM",9/17/2008 0:00:00
"ajg","Aja","BN","BM",6/27/2013 0:00:00
"aji","Ajie","NC","BM",6/27/2013 0:00:00
"ajn","Andajin","AS","BM",5/17/2013 0:00:00
"ajp","Arabic, South Levantine Spoken","JO","BM",6/27/2013 0:00:00
"ajt","Arabic, Judeo-Tunisian","IS","BM",6/27/2013 0:00:00
"aju","Arabic, Judeo-Moroccan","IS","BM",9/17/2008 0:00:00
"ajz","Amri Karbi","IN","BM",5/3/2010 0:00:00
"aka","Akan","GH","BM",6/27/2013 0:00:00
"akb","Batak Angkola","ID","BM",6/27/2013 0:00:00
"akc","Mpur","ID","BM",6/27/2013 0:00:00
"akd","Ukpet-Ehom","NI","BM",9/17/2008 0:00:00
"ake","Akawaio","GY","BM",6/27/2013 0:00:00
"akf","Akpa","NI","BM",9/17/2008 0:00:00
"akg","Anakalangu","ID","BM",9/17/2008 0:00:00
"akh","Angal Heneng","PP","BM",12/17/2010 0:00:00
"aki","Aiome","PP","BM",9/17/2008 0:00:00
"akl","Inakeanon","RP","BM",6/27/2013 0:00:00
"ako","Akurio","NS","BM",9/17/2008 0:00:00
"akp","Siwu","GH","BM",6/27/2013 0:00:00
"akq","Ak","PP","BM",9/17/2008 0:00:00
"akr","Araki","NH","BM",9/17/2008 0:00:00
"aks","Akaselem","TO","BM",9/17/2008 0:00:00
"akt","Akolet","PP","BM",9/17/2008 0:00:00
"aku","Akum","CM","BM",9/17/2008 0:00:00
"akv","Akhvakh","RS","BM",9/17/2008 0:00:00
"akw","Akwa","CF","BM",9/17/2008 0:00:00
"aky","Aka-Kol","IN","BM",9/17/2008 0:00:00
"akz","Alabama","US","BM",9/17/2008 0:00:00
"ala","Alago","NI","BM",12/17/2010 0:00:00
"alc","Qawasqar","CI","BM",9/17/2008 0:00:00
"ald","Alladian","IV","BM",6/27/2013 0:00:00
"ale","Aleut","US","BM",6/27/2013 0:00:00
"alf","Alege","NI","BM",9/17/2008 0:00:00
"alh","Alawa","AS","BM",9/17/2008 0:00:00
"ali","Amaimon","PP","BM",9/17/2008 0:00:00
"alj","Alangan","RP","BM",6/27/2013 0:00:00
"alk","Alak","LA","BM",9/17/2008 0:00:00
"all","Allar","IN","BM",9/17/2008 0:00:00
"alm","Amblong","NH","BM",9/17/2008 0:00:00
"aln","Albanian, Gheg","RI","BM",6/27/2013 0:00:00
"alo","Larike-Wakasihu","ID","BM",9/17/2008 0:00:00
"alp","Alune","ID","BM",6/27/2013 0:00:00
"alq","Algonquin","CA","BM",6/27/2013 0:00:00
"alr","Alutor","RS","BM",9/17/2008 0:00:00
"als","Albanian, Tosk","AL","BM",6/27/2013 0:00:00
"alt","Altai, Southern","RS","BM",12/17/2010 0:00:00
"alu","Areare","BP","BM",6/27/2013 0:00:00
"alw","Alaba-K'abeena","ET","BM",5/16/2013 0:00:00
"alx","Amol","PP","BM",9/17/2008 0:00:00
"aly","Alyawarr","AS","BM",6/27/2013 0:00:00
"alz","Alur","CG","BM",6/27/2013 0:00:00
"ama","Amanaye","BR","BM",5/31/2013 0:00:00
"amb","Ambo","NI","BM",9/17/2008 0:00:00
"amc","Amahuaca","PE","BM",6/27/2013 0:00:00
"ame","Yanesha","PE","BM",6/27/2013 0:00:00
"amf","Hamer-Banna","ET","BM",9/17/2008 0:00:00
"amg","Amurdak","AS","BM",5/16/2013 0:00:00
"amh","Amharic","ET","BM",6/27/2013 0:00:00
"ami","Amis","TW","BM",6/27/2013 0:00:00
"amj","Amdang","CD","BM",9/17/2008 0:00:00
"amk","Ambai","ID","BM",6/27/2013 0:00:00
"aml","War-Jaintia","BG","BM",9/17/2008 0:00:00
"amm","Ama","PP","BM",6/27/2013 0:00:00
"amn","Amanab","PP","BM",6/27/2013 0:00:00
"amo","Amo","NI","BM",9/17/2008 0:00:00
"amp","Alamblak","PP","BM",6/27/2013 0:00:00
"amq","Amahai","ID","BM",9/17/2008 0:00:00
"amr","Amarakaeri","PE","BM",6/27/2013 0:00:00
"ams","Amami-Oshima, Southern","JA","BM",9/17/2008 0:00:00
"amt","Amto","PP","BM",9/17/2008 0:00:00
"amu","Amuzgo, Guerrero","MX","BM",6/27/2013 0:00:00
"amv","Ambelau","ID","BM",9/17/2008 0:00:00
"amw","Western Neo-Aramaic","SY","BM",9/17/2008 0:00:00
"amx","Anmatyerre","AS","BM",12/17/2010 0:00:00
"amy","Ami","AS","BM",9/17/2008 0:00:00
"ana","Andaqui","CO","BM",5/31/2013 0:00:00
"anc","Ngas","NI","BM",6/27/2013 0:00:00
"and","Ansus","ID","BM",9/17/2008 0:00:00
"ane","Xaracuu","NC","BM",9/17/2008 0:00:00
"anf","Animere","GH","BM",9/17/2008 0:00:00
"anh","Nend","PP","BM",9/17/2008 0:00:00
"ani","Andi","RS","BM",12/17/2010 0:00:00
"anj","Anor","PP","BM",9/17/2008 0:00:00
"ank","Goemai","NI","BM",12/17/2010 0:00:00
"anl","Chin, Anu-Hkongso","BM","BM",9/17/2008 0:00:00
"anm","Anal","IN","BM",6/27/2013 0:00:00
"ann","Obolo","NI","BM",6/27/2013 0:00:00
"ano","Andoque","CO","BM",12/17/2010 0:00:00
"anp","Angika","IN","BM",9/17/2008 0:00:00
"anq","Jarawa","IN","BM",9/17/2008 0:00:00
"anr","Andh","IN","BM",9/17/2008 0:00:00
"ant","Antakarinya","AS","BM",9/17/2008 0:00:00
"anu","Anuak","OD","BM",6/3/2016 0:00:00
"anv","Denya","CM","BM",6/27/2013 0:00:00
"anw","Anaang","NI","BM",9/17/2008 0:00:00
"anx","Andra-Hus","PP","BM",9/17/2008 0:00:00
"any","Anyin","IV","BM",6/27/2013 0:00:00
"anz","Anem","PP","BM",9/17/2008 0:00:00
"aoa","Angolar","TP","BM",9/17/2008 0:00:00
"aob","Abom","PP","BM",9/17/2008 0:00:00
"aoc","Pemon","VE","BM",12/17/2010 0:00:00
"aod","Andarum","PP","BM",9/17/2008 0:00:00
"aoe","Angal Enen","PP","BM",6/27/2013 0:00:00
"aof","Bragat","PP","BM",9/17/2008 0:00:00
"aog","Angoram","PP","BM",9/17/2008 0:00:00
"aoi","Anindilyakwa","AS","BM",6/27/2013 0:00:00
"aoj","Mufian","PP","BM",6/27/2013 0:00:00
"aok","Arho","NC","BM",9/17/2008 0:00:00
"aol","Alor","ID","BM",9/17/2008 0:00:00
"aom","Omie","PP","BM",6/27/2013 0:00:00
"aon","Arapesh, Bumbita","PP","BM",12/17/2010 0:00:00
"aos","Taikat","ID","BM",9/17/2008 0:00:00
"aot","Atong","IN","BM",9/17/2008 0:00:00
"aou","A'ou","CH","BM",5/17/2013 0:00:00
"aox","Atorada","GY","BM",9/17/2008 0:00:00
"aoz","Uab Meto","ID","BM",6/27/2013 0:00:00
"apb","Sa'a","BP","BM",6/27/2013 0:00:00
"apc","Arabic, North Levantine Spoken","SY","BM",12/17/2010 0:00:00
"apd","Arabic, Sudanese Spoken","SU","BM",6/27/2013 0:00:00
"ape","Bukiyip","PP","BM",6/27/2013 0:00:00
"apf","Agta, Pahanan","RP","BM",6/27/2013 0:00:00
"apg","Ampanang","ID","BM",9/17/2008 0:00:00
"aph","Athpariya","NP","BM",9/17/2008 0:00:00
"api","Apiaka","BR","BM",9/17/2008 0:00:00
"apj","Apache, Jicarilla","US","BM",12/17/2010 0:00:00
"apk","Apache, Kiowa","US","BM",9/17/2008 0:00:00
"apl","Apache, Lipan","US","BM",9/17/2008 0:00:00
"apm","Apache, Mescalero-Chiricahua","US","BM",9/17/2008 0:00:00
"apn","Apinaye","BR","BM",6/27/2013 0:00:00
"apo","Ambul","PP","BM",5/16/2013 0:00:00
"app","Apma","NH","BM",12/17/2010 0:00:00
"apq","A-Pucikwar","IN","BM",9/17/2008 0:00:00
"apr","Arop-Lokep","PP","BM",6/27/2013 0:00:00
"aps","Arop-Sissano","PP","BM",6/27/2013 0:00:00
"apt","Apatani","IN","BM",12/17/2010 0:00:00
"apu","Apurina","BR","BM",12/17/2010 0:00:00
"apw","Apache, Western","US","BM",6/27/2013 0:00:00
"apx","Aputai","ID","BM",9/17/2008 0:00:00
"apy","Apalai","BR","BM",6/27/2013 0:00:00
"apz","Safeyoka","PP","BM",6/27/2013 0:00:00
"aqc","Archi","RS","BM",9/17/2008 0:00:00
"aqd","Dogon, Ampari","ML","BM",5/17/2013 0:00:00
"aqg","Arigidi","NI","BM",9/17/2008 0:00:00
"aqm","Atohwaim","ID","BM",9/17/2008 0:00:00
"aqn","Alta, Northern","RP","BM",9/17/2008 0:00:00
"aqr","Arha","NC","BM",9/17/2008 0:00:00
"aqt","Angaite","PA","BM",6/18/2014 0:00:00
"aqz","Akuntsu","BR","BM",5/17/2013 0:00:00
"arb","Arabic, Standard","SA","BM",6/27/2013 0:00:00
"ard","Arabana","AS","BM",5/31/2013 0:00:00
"are","Arrarnta, Western","AS","BM",6/27/2013 0:00:00
"arg","Aragonese","SP","BM",6/27/2013 0:00:00
"arh","Arhuaco","CO","BM",6/27/2013 0:00:00
"ari","Arikara","US","BM",9/17/2008 0:00:00
"arj","Arapaso","BR","BM",5/31/2013 0:00:00
"ark","Arikapu","BR","BM",9/17/2008 0:00:00
"arl","Arabela","PE","BM",6/27/2013 0:00:00
"arn","Mapudungun","CI","BM",6/27/2013 0:00:00
"aro","Araona","BL","BM",6/27/2013 0:00:00
"arp","Arapaho","US","BM",12/17/2010 0:00:00
"arq","Arabic, Algerian Spoken","AG","BM",6/27/2013 0:00:00
"arr","Karo","BR","BM",9/17/2008 0:00:00
"ars","Arabic, Najdi Spoken","SA","BM",11/19/2013 0:00:00
"arv","Arbore","ET","BM",9/17/2008 0:00:00
"arw","Arawak","NS","BM",6/27/2013 0:00:00
"arx","Arua","BR","BM",9/17/2008 0:00:00
"ary","Arabic, Moroccan Spoken","MO","BM",6/27/2013 0:00:00
"arz","Arabic, Egyptian Spoken","EG","BM",6/27/2013 0:00:00
"asa","Asu","TZ","BM",6/27/2013 0:00:00
"asb","Assiniboine","CA","BM",9/17/2008 0:00:00
"asc","Asmat, Casuarina Coast","ID","BM",9/17/2008 0:00:00
"asd","Asas","PP","BM",9/17/2008 0:00:00
"ase","American Sign Language","US","BM",6/27/2013 0:00:00
"asf","Australian Sign Language","AS","BM",6/27/2013 0:00:00
"asg","Cishingini","NI","BM",12/17/2010 0:00:00
"asi","Buruwai","ID","BM",9/17/2008 0:00:00
"asj","Sari","CM","BM",5/16/2013 0:00:00
"ask","Ashkun","AF","BM",9/17/2008 0:00:00
"asl","Asilulu","ID","BM",9/17/2008 0:00:00
"asm","Assamese","IN","BM",6/27/2013 0:00:00
"asn","Asurini of Xingu","BR","BM",9/17/2008 0:00:00
"aso","Dano","PP","BM",6/27/2013 0:00:00
"asp","Algerian Sign Language","AG","BM",9/17/2008 0:00:00
"asq","Austrian Sign Language","AU","BM",9/17/2008 0:00:00
"asr","Asuri","IN","BM",9/17/2008 0:00:00
"ass","Ipulo","CM","BM",9/13/2013 0:00:00
"ast","Asturian","SP","BM",6/27/2013 0:00:00
"asu","Asurini, Tocantins","BR","BM",6/27/2013 0:00:00
"asv","Asoa","CG","BM",9/17/2008 0:00:00
"asw","Australian Aborigines Sign Language","AS","BM",9/17/2008 0:00:00
"asx","Muratayak","PP","BM",9/17/2008 0:00:00
"asy","Asmat, Yaosakor","ID","BM",12/17/2010 0:00:00
"asz","As","ID","BM",9/17/2008 0:00:00
"ata","Pele-Ata","PP","BM",6/27/2013 0:00:00
"atb","Zaiwa","CH","BM",6/27/2013 0:00:00
"atd","Manobo, Ata","RP","BM",6/27/2013 0:00:00
"ate","Atemble","PP","BM",9/17/2008 0:00:00
"atg","Ivbie North-Okpela-Arhe","NI","BM",6/27/2013 0:00:00
"ati","Attie","IV","BM",6/27/2013 0:00:00
"atj","Atikamekw","CA","BM",6/27/2013 0:00:00
"atk","Ati","RP","BM",9/17/2008 0:00:00
"atl","Agta, Mt. Iraya","RP","BM",9/17/2008 0:00:00
"atm","Ata","RP","BM",9/17/2008 0:00:00
"atn","Ashtiani","IR","BM",9/17/2008 0:00:00
"ato","Atong","CM","BM",9/17/2008 0:00:00
"atp","Atta, Pudtol","RP","BM",9/17/2008 0:00:00
"atq","Aralle-Tabulahan","ID","BM",6/27/2013 0:00:00
"atr","Waimiri-Atroari","BR","BM",9/17/2008 0:00:00
"ats","Gros Ventre","US","BM",9/17/2008 0:00:00
"att","Atta, Pamplona","RP","BM",6/27/2013 0:00:00
"atu","Reel","OD","BM",9/17/2008 0:00:00
"atv","Altai, Northern","RS","BM",9/17/2008 0:00:00
"atw","Atsugewi","US","BM",9/17/2008 0:00:00
"atx","Arutani","BR","BM",9/17/2008 0:00:00
"aty","Aneityum","NH","BM",6/27/2013 0:00:00
"atz","Arta","RP","BM",9/17/2008 0:00:00
"aua","Asumboa","BP","BM",9/17/2008 0:00:00
"aub","Alugu","CH","BM",9/17/2008 0:00:00
"auc","Waorani","EC","BM",6/27/2013 0:00:00
"aud","Anuta","BP","BM",9/17/2008 0:00:00
"aug","Aguna","BN","BM",9/17/2008 0:00:00
"auh","Aushi","ZA","BM",9/17/2008 0:00:00
"aui","Anuki","PP","BM",12/17/2010 0:00:00
"auj","Awjilah","LY","BM",9/17/2008 0:00:00
"auk","Heyo","PP","BM",9/17/2008 0:00:00
"aul","Aulua","NH","BM",6/27/2013 0:00:00
"aum","Asu","NI","BM",9/17/2008 0:00:00
"aun","One, Molmo","PP","BM",9/17/2008 0:00:00
"aup","Makayam","PP","BM",12/17/2010 0:00:00
"auq","Anus","ID","BM",9/17/2008 0:00:00
"aur","Aruek","PP","BM",9/17/2008 0:00:00
"aut","Austral","FP","BM",9/17/2008 0:00:00
"auu","Auye","ID","BM",6/27/2013 0:00:00
"auw","Awyi","ID","BM",9/17/2008 0:00:00
"auy","Awiyaana","PP","BM",6/27/2013 0:00:00
"auz","Arabic, Uzbeki Spoken","UZ","BM",9/17/2008 0:00:00
"ava","Avar","RS","BM",6/27/2013 0:00:00
"avb","Avau","PP","BM",9/17/2008 0:00:00
"avd","Alviri-Vidari","IR","BM",9/17/2008 0:00:00
"avi","Avikam","IV","BM",12/17/2010 0:00:00
"avl","Arabic, Eastern Egyptian Bedawi Spoken","EG","BM",9/17/2008 0:00:00
"avn","Avatime","GH","BM",9/17/2008 0:00:00
"avt","Au","PP","BM",6/27/2013 0:00:00
"avu","Avokaya","OD","BM",6/27/2013 0:00:00
"avv","Ava-Canoeiro","BR","BM",9/17/2008 0:00:00
"awa","Awadhi","IN","BM",6/27/2013 0:00:00
"awb","Awa","PP","BM",6/27/2013 0:00:00
"awc","Cicipu","NI","BM",5/16/2013 0:00:00
"awe","Aweti","BR","BM",9/17/2008 0:00:00
"awh","Awbono","ID","BM",9/17/2008 0:00:00
"awi","Aekyom","PP","BM",6/27/2013 0:00:00
"awk","Awabakal","AS","BM",6/27/2013 0:00:00
"awm","Arawum","PP","BM",9/17/2008 0:00:00
"awn","Awngi","ET","BM",6/27/2013 0:00:00
"awo","Awak","NI","BM",12/17/2010 0:00:00
"awr","Awera","ID","BM",9/17/2008 0:00:00
"aws","Awyu, South","ID","BM",9/17/2008 0:00:00
"awt","Arawete","BR","BM",9/17/2008 0:00:00
"awu","Awyu, Central","ID","BM",12/17/2010 0:00:00
"awv","Awyu, Jair","ID","BM",9/17/2008 0:00:00
"aww","Awun","PP","BM",9/17/2008 0:00:00
"awx","Awara","PP","BM",9/17/2008 0:00:00
"awy","Awyu, Edera","ID","BM",9/17/2008 0:00:00
"axg","Arara, Mato Grosso","BR","BM",5/31/2013 0:00:00
"axk","Yaka","CT","BM",6/27/2013 0:00:00
"axx","Xaragure","NC","BM",9/17/2008 0:00:00
"aya","Awar","PP","BM",9/17/2008 0:00:00
"ayb","Gbe, Ayizo","BN","BM",9/17/2008 0:00:00
"ayc","Aymara, Southern","PE","BM",9/17/2008 0:00:00
"aye","Ayere","NI","BM",9/17/2008 0:00:00
"ayg","Ginyanga","TO","BM",9/17/2008 0:00:00
"ayh","Arabic, Hadrami Spoken","YM","BM",9/17/2008 0:00:00
"ayi","Leyigha","NI","BM",9/17/2008 0:00:00
"ayk","Akuku","NI","BM",9/17/2008 0:00:00
"ayl","Arabic, Libyan Spoken","LY","BM",9/17/2008 0:00:00
"ayn","Arabic, Sanaani Spoken","YM","BM",9/17/2008 0:00:00
"ayo","Ayoreo","PA","BM",6/27/2013 0:00:00
"ayp","Arabic, North Mesopotamian Spoken","IZ","BM",9/17/2008 0:00:00
"ayq","Ayi","PP","BM",9/17/2008 0:00:00
"ayr","Aymara, Central","BL","BM",6/27/2013 0:00:00
"ays","Ayta, Sorsogon","RP","BM",9/17/2008 0:00:00
"ayt","Ayta, Magbukun","RP","BM",5/16/2013 0:00:00
"ayu","Ayu","NI","BM",9/17/2008 0:00:00
"ayz","Mai Brat","ID","BM",6/27/2013 0:00:00
"aza","Azha","CH","BM",9/17/2008 0:00:00
"azb","Azerbaijani, South","IR","BM",9/17/2008 0:00:00
"azd","Nahuatl, Eastern Durango","MX","BM",5/17/2013 0:00:00
"azg","Amuzgo, San Pedro Amuzgos","MX","BM",6/27/2013 0:00:00
"azj","Azerbaijani, North","AJ","BM",6/27/2013 0:00:00
