"ROL4","Dialect","DialectGerman","ROL3","ROPAL","Source","EditName","EditDate"
9158,"Qiqiha'er",,"dta","dta06","GRN / ROD","BM",4/1/2010 0:00:00
9160,"Bangoul",,"dai",,"GRN / ROD","BM",4/1/2010 0:00:00
9161,"Bouna",,"dai",,"GRN / ROD","BM",4/1/2010 0:00:00
9162,"Ngalo",,"dai",,"GRN / ROD","BM",4/1/2010 0:00:00
9163,"Takawa-béngoro",,"dai",,"GRN / ROD","BM",4/1/2010 0:00:00
9188,"Dhalwangu",,"dax",,"GRN / ROD","BM",4/1/2010 0:00:00
9189,"Djarrwark",,"dax",,"GRN / ROD","BM",4/1/2010 0:00:00
9191,"Azzaga",,"dzg","dzg01","GRN / ROD","BM",4/1/2010 0:00:00
9194,"Bijapuri",,"dcc",,"GRN / ROD","BM",4/1/2010 0:00:00
9195,"Kalvadi",,"dcc",,"GRN / ROD","BM",4/1/2010 0:00:00
9197,"Dzeigoc",,"ded",,"GRN / ROD","BM",4/1/2010 0:00:00
9198,"Fanic",,"ded","ded04","GRN / ROD","BM",4/1/2010 0:00:00
9200,"Boe",,"mzw",,"GRN / ROD","BM",4/1/2010 0:00:00
9201,"Longoro",,"mzw",,"GRN / ROD","BM",4/1/2010 0:00:00
9202,"Mangum",,"mzw",,"GRN / ROD","BM",4/1/2010 0:00:00
9204,"Atala",,"deg",,"GRN / ROD","BM",4/1/2010 0:00:00
9205,"Usokun",,"deg",,"GRN / ROD","BM",4/1/2010 0:00:00
9207,"Degexitan",,"ing",,"GRN / ROD","BM",4/1/2010 0:00:00
9208,"Losi",,"dhv",,"GRN / ROD","BM",4/1/2010 0:00:00
9209,"Wete",,"dhv",,"GRN / ROD","BM",4/1/2010 0:00:00
9213,"Demta",,"dmy",,"GRN / ROD","BM",4/1/2010 0:00:00
9214,"Dendi [central African Republic]",,"deq",,"GRN / ROD","BM",4/1/2010 0:00:00
9215,"Dengalu",,"ptp",,"GRN / ROD","BM",4/1/2010 0:00:00
9216,"Inauini",,"dny","dny01","GRN / ROD","BM",4/1/2010 0:00:00
9217,"Bajwo",,"anv",,"GRN / ROD","BM",4/1/2010 0:00:00
9218,"Bitieku",,"anv",,"GRN / ROD","BM",4/1/2010 0:00:00
9219,"Takamanda",,"anv",,"GRN / ROD","BM",4/1/2010 0:00:00
9220,"Gasi",,"kna",,"GRN / ROD","BM",4/1/2010 0:00:00
9221,"Shani",,"kna",,"GRN / ROD","BM",4/1/2010 0:00:00
9222,"Shellen",,"kna",,"GRN / ROD","BM",4/1/2010 0:00:00
9223,"Deti",,"shg",,"GRN / ROD","BM",4/1/2010 0:00:00
9224,"K'ere-khwe",,"shg",,"GRN / ROD","BM",4/1/2010 0:00:00
9225,"Tsh'erekhwe",,"shg",,"GRN / ROD","BM",4/1/2010 0:00:00
9228,"Dhangu-djangu",,"dhg",,"GRN / ROD","BM",4/1/2010 0:00:00
9229,"Gaalpu",,"dhg",,"GRN / ROD","BM",4/1/2010 0:00:00
9230,"Golumala",,"dhg",,"GRN / ROD","BM",4/1/2010 0:00:00
9231,"Ngaymil",,"dhg",,"GRN / ROD","BM",4/1/2010 0:00:00
9235,"Barage",,"mki",,"GRN / ROD","BM",4/1/2010 0:00:00
9236,"Central Dhatki",,"mki",,"GRN / ROD","BM",4/1/2010 0:00:00
9237,"Malhi",,"mki",,"GRN / ROD","BM",4/1/2010 0:00:00
9238,"Southern Dhatki",,"mki",,"GRN / ROD","BM",4/1/2010 0:00:00
9239,"Eastern Dhimal",,"dhi",,"GRN / ROD","BM",4/1/2010 0:00:00
9240,"Western Dhimal",,"dhi",,"GRN / ROD","BM",4/1/2010 0:00:00
9252,"Vata",,"dic","dic01","GRN / ROD","BM",4/1/2010 0:00:00
9253,"Divo",,"gud",,"GRN / ROD","BM",4/1/2010 0:00:00
9254,"Lozoua",,"gud","gud01","GRN / ROD","BM",4/1/2010 0:00:00
9256,"Sagadin",,"ddo",,"GRN / ROD","BM",4/1/2010 0:00:00
9258,"Boow",,"dur",,"GRN / ROD","BM",4/1/2010 0:00:00
9259,"Goom",,"dur",,"GRN / ROD","BM",4/1/2010 0:00:00
9260,"Home",,"dur",,"GRN / ROD","BM",4/1/2010 0:00:00
9261,"Mambe'",,"dur",,"GRN / ROD","BM",4/1/2010 0:00:00
9262,"Mamna'a",,"dur",,"GRN / ROD","BM",4/1/2010 0:00:00
9263,"Ngbang",,"dur",,"GRN / ROD","BM",4/1/2010 0:00:00
9264,"Nyok",,"dur",,"GRN / ROD","BM",4/1/2010 0:00:00
9265,"Sagzee",,"dur",,"GRN / ROD","BM",4/1/2010 0:00:00
9266,"Vaazin",,"dur","dur13","GRN / ROD","BM",4/1/2010 0:00:00
9268,"Debri",,"dil","dil02","GRN / ROD","BM",4/1/2010 0:00:00
9269,"Hariamba",,"dis",,"GRN / ROD","BM",4/1/2010 0:00:00
9271,"Dimir",,"dmc",,"GRN / ROD","BM",4/1/2010 0:00:00
9272,"Dimli",,"diq",,"GRN / ROD","BM",4/1/2010 0:00:00
9273,"Dumbuli",,"diq",,"GRN / ROD","BM",4/1/2010 0:00:00
9274,"Hazzu",,"diq",,"GRN / ROD","BM",4/1/2010 0:00:00
9275,"Kori",,"diq",,"GRN / ROD","BM",4/1/2010 0:00:00
9276,"Motki",,"diq",,"GRN / ROD","BM",4/1/2010 0:00:00
9278,"Sivereki",,"diq",,"GRN / ROD","BM",4/1/2010 0:00:00
9279,"Abiliang",,"dip",,"GRN / ROD","BM",4/1/2010 0:00:00
9280,"Dongjol",,"dip",,"GRN / ROD","BM",4/1/2010 0:00:00
9281,"Luac",,"dip",,"GRN / ROD","BM",4/1/2010 0:00:00
9282,"Rut",,"dip",,"GRN / ROD","BM",4/1/2010 0:00:00
9283,"Thoi",,"dip","dip10","GRN / ROD","BM",4/1/2010 0:00:00
9284,"Northwestern",,"diw",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
9285,"Alor",,"diw",,"GRN / ROD","BM",4/1/2010 0:00:00
9286,"Ngok-kordofan",,"diw",,"GRN / ROD","BM",4/1/2010 0:00:00
9287,"Ruweng",,"diw",,"GRN / ROD","BM",4/1/2010 0:00:00
9289,"Aliap",,"dib",,"GRN / ROD","BM",4/1/2010 0:00:00
9291,"Athoc",,"dks",,"GRN / ROD","BM",4/1/2010 0:00:00
9292,"Ghol",,"dks",,"GRN / ROD","BM",4/1/2010 0:00:00
9293,"Nyarweng",,"dks",,"GRN / ROD","BM",4/1/2010 0:00:00
9294,"Southwestern",,"dik",,"ROD download, 11/2/2015","BM",11/4/2015 0:00:00
9295,"Abiem",,"dik",,"GRN / ROD","BM",4/1/2010 0:00:00
9296,"Aguok",,"dik",,"GRN / ROD","BM",4/1/2010 0:00:00
9297,"Apuk",,"dik",,"GRN / ROD","BM",4/1/2010 0:00:00
9298,"Awan",,"dik",,"GRN / ROD","BM",4/1/2010 0:00:00
9299,"Lau",,"dik",,"GRN / ROD","BM",4/1/2010 0:00:00
9300,"Luac",,"dik",,"GRN / ROD","BM",4/1/2010 0:00:00
9301,"Paliet",,"dik",,"GRN / ROD","BM",4/1/2010 0:00:00
9302,"Palioupiny",,"dik",,"GRN / ROD","BM",4/1/2010 0:00:00
9303,"Tuic",,"dik",,"GRN / ROD","BM",4/1/2010 0:00:00
9304,"Diodio",,"ddi",,"GRN / ROD","BM",4/1/2010 0:00:00
9305,"Awale",,"ddi",,"GRN / ROD","BM",4/1/2010 0:00:00
9306,"Central Diodio",,"ddi",,"GRN / ROD","BM",4/1/2010 0:00:00
9307,"Iauiaula",,"ddi",,"GRN / ROD","BM",4/1/2010 0:00:00
9308,"Utalo",,"ddi","ddi02","GRN / ROD","BM",4/1/2010 0:00:00
9314,"Dizi",,"mdx",,"GRN / ROD","BM",4/1/2010 0:00:00
9317,"Ngaliwuru",,"djd",,"GRN / ROD","BM",4/1/2010 0:00:00
9323,"Balurbi",,"dji",,"GRN / ROD","BM",4/1/2010 0:00:00
9324,"Djadiwitjibi",,"dji",,"GRN / ROD","BM",4/1/2010 0:00:00
9325,"Manyarring",,"dji",,"GRN / ROD","BM",4/1/2010 0:00:00
9326,"Mildjingi",,"dji",,"GRN / ROD","BM",4/1/2010 0:00:00
9327,"Murrungun",,"dji",,"GRN / ROD","BM",4/1/2010 0:00:00
9328,"Wulaki",,"dji","dji03","GRN / ROD","BM",4/1/2010 0:00:00
9330,"Dabi",,"djb",,"GRN / ROD","BM",4/1/2010 0:00:00
9331,"Ganalbingu",,"djb",,"GRN / ROD","BM",4/1/2010 0:00:00
9332,"Mandjalpingu",,"djb",,"GRN / ROD","BM",4/1/2010 0:00:00
9335,"Inland Dobel",,"kvo",,"GRN / ROD","BM",4/1/2010 0:00:00
9336,"Northeast Dobel",,"kvo",,"GRN / ROD","BM",4/1/2010 0:00:00
9337,"Southeast Dobel",,"kvo",,"GRN / ROD","BM",4/1/2010 0:00:00
9341,"Ubuia",,"dob",,"GRN / ROD","BM",4/1/2010 0:00:00
9343,"Dogon, Bankasa",,"dtk",,"GRN / ROD","BM",4/1/2010 0:00:00
9344,"Dogon, Jamsai",,"djm",,"GRN / ROD","BM",4/1/2010 0:00:00
9346,"Gbeyãse",,"dos",,"GRN / ROD","BM",4/1/2010 0:00:00
9347,"Gbogorose",,"dos",,"GRN / ROD","BM",4/1/2010 0:00:00
9348,"Klamaasise",,"dos",,"GRN / ROD","BM",4/1/2010 0:00:00
9349,"Lutise",,"dos",,"GRN / ROD","BM",4/1/2010 0:00:00
9350,"Mesise",,"dos",,"GRN / ROD","BM",4/1/2010 0:00:00
9351,"Sukurase",,"dos","dos05","GRN / ROD","BM",4/1/2010 0:00:00
9353,"Detah-ndilo",,"dgr",,"GRN / ROD","BM",4/1/2010 0:00:00
9354,"Bhatbali",,"dgo",,"GRN / ROD","BM",4/1/2010 0:00:00
9355,"East Dogri",,"dgo",,"GRN / ROD","BM",4/1/2010 0:00:00
9356,"Kandiali",,"dgo",,"GRN / ROD","BM",4/1/2010 0:00:00
9357,"North Dogri",,"dgo",,"GRN / ROD","BM",4/1/2010 0:00:00
9358,"Dohoi",,"otd",,"GRN / ROD","BM",4/1/2010 0:00:00
9360,"Ot Balawan",,"otd",,"GRN / ROD","BM",4/1/2010 0:00:00
9361,"Ot Banu'u",,"otd",,"GRN / ROD","BM",4/1/2010 0:00:00
9363,"Ot Olang",,"otd",,"GRN / ROD","BM",4/1/2010 0:00:00
9364,"Ot Tuhup",,"otd",,"GRN / ROD","BM",4/1/2010 0:00:00
9365,"Sarawai",,"otd",,"GRN / ROD","BM",4/1/2010 0:00:00
9366,"Ulu Ai'",,"otd",,"GRN / ROD","BM",4/1/2010 0:00:00
9367,"Doka Avong",,"dbi",,"GRN / ROD","BM",4/1/2010 0:00:00
9370,"Era",,"doa","doa01","GRN / ROD","BM",4/1/2010 0:00:00
9373,"Barake",,"rmt","rmt35","GRN / ROD","BM",4/1/2010 0:00:00
9374,"Beirut",,"rmt",,"GRN / ROD","BM",4/1/2010 0:00:00
9375,"Beludji",,"rmt",,"GRN / ROD","BM",4/1/2010 0:00:00
9376,"Churi-wali",,"rmt","rmt23","GRN / ROD","BM",4/1/2010 0:00:00
9377,"Domaki",,"rmt",,"GRN / ROD","BM",4/1/2010 0:00:00
9378,"Helebi",,"rmt","rmt22","GRN / ROD","BM",4/1/2010 0:00:00
9379,"Karachi",,"rmt","rmt30","GRN / ROD","BM",4/1/2010 0:00:00
9380,"Koli",,"rmt",,"GRN / ROD","BM",4/1/2010 0:00:00
9381,"Kurbat",,"rmt","rmt03","GRN / ROD","BM",4/1/2010 0:00:00
9382,"Kurbati",,"rmt",,"GRN / ROD","BM",4/1/2010 0:00:00
9383,"Luli",,"rmt","rmt31","GRN / ROD","BM",4/1/2010 0:00:00
9384,"Marashi",,"rmt",,"GRN / ROD","BM",4/1/2010 0:00:00
9385,"Maznoug",,"rmt","rmt32","GRN / ROD","BM",4/1/2010 0:00:00
9386,"Nablos",,"rmt",,"GRN / ROD","BM",4/1/2010 0:00:00
9387,"Nawar",,"rmt","rmt24","GRN / ROD","BM",4/1/2010 0:00:00
9388,"Nawari",,"rmt","rmt01","GRN / ROD","BM",4/1/2010 0:00:00
9389,"Qinati",,"rmt",,"GRN / ROD","BM",4/1/2010 0:00:00
9390,"Wogri-boli",,"rmt",,"GRN / ROD","BM",4/1/2010 0:00:00
9391,"Yürük",,"rmt","rmt28","GRN / ROD","BM",4/1/2010 0:00:00
9396,"Donga",,"doh",,"GRN / ROD","BM",4/1/2010 0:00:00
9399,"Sijiaji",,"sce",,"GRN / ROD","BM",4/1/2010 0:00:00
9400,"Suonanba",,"sce",,"GRN / ROD","BM",4/1/2010 0:00:00
9401,"Wangjiaji",,"sce","sce02","GRN / ROD","BM",4/1/2010 0:00:00
9403,"Kokila",,"kqc",,"GRN / ROD","BM",4/1/2010 0:00:00
9404,"Koriko",,"kqc",,"GRN / ROD","BM",4/1/2010 0:00:00
9408,"Doura",,"don",,"GRN / ROD","BM",4/1/2010 0:00:00
9410,"Marke",,"dow",,"GRN / ROD","BM",4/1/2010 0:00:00
9411,"Sewe",,"dow",,"GRN / ROD","BM",4/1/2010 0:00:00
9412,"Teere",,"dow","dow02","GRN / ROD","BM",4/1/2010 0:00:00
9414,"North Drente",,"drt",,"GRN / ROD","BM",4/1/2010 0:00:00
9415,"South Drente",,"drt",,"GRN / ROD","BM",4/1/2010 0:00:00
9417,"Nu River",,"duu","duu02","GRN / ROD","BM",4/1/2010 0:00:00
9418,"Bodiman",,"dua",,"GRN / ROD","BM",4/1/2010 0:00:00
9419,"Oli",,"dua",,"GRN / ROD","BM",4/1/2010 0:00:00
9420,"Pongo",,"dua","dua04","GRN / ROD","BM",4/1/2010 0:00:00
9422,"Dawada",,"dva",,"GRN / ROD","BM",4/1/2010 0:00:00
9423,"Mwalukwasia",,"dva",,"GRN / ROD","BM",4/1/2010 0:00:00
9425,"Dubu",,"dmu",,"GRN / ROD","BM",4/1/2010 0:00:00
9426,"Duduela",,"duk",,"GRN / ROD","BM",4/1/2010 0:00:00
9427,"Badara Duguri",,"dbm",,"GRN / ROD","BM",4/1/2010 0:00:00
9428,"Gar Duguri",,"dbm",,"GRN / ROD","BM",4/1/2010 0:00:00
9429,"Northeast Duguri",,"dbm",,"GRN / ROD","BM",4/1/2010 0:00:00
9430,"Southwest Duguri","Südwest-Duguri","dbm","dbm04","GRN / ROD","BM",4/1/2010 0:00:00
9434,"Dumbea",,"duf",,"GRN / ROD","BM",4/1/2010 0:00:00
9436,"Brasmi",,"dus",,"GRN / ROD","BM",4/1/2010 0:00:00
9437,"Kharbari",,"dus",,"GRN / ROD","BM",4/1/2010 0:00:00
9438,"Lamdija",,"dus",,"GRN / ROD","BM",4/1/2010 0:00:00
9439,"Makpa",,"dus",,"GRN / ROD","BM",4/1/2010 0:00:00
9441,"Dumpu",,"wtf",,"GRN / ROD","BM",4/1/2010 0:00:00
9444,"Gansu",,"dng",,"GRN / ROD","BM",4/1/2010 0:00:00
9445,"Shaanxi",,"dng",,"GRN / ROD","BM",4/1/2010 0:00:00
9446,"Yage",,"dng","dng03","GRN / ROD","BM",4/1/2010 0:00:00
9447,"Khesang",,"raa",,"GRN / ROD","BM",4/1/2010 0:00:00
9449,"Cakke",,"mvp",,"GRN / ROD","BM",4/1/2010 0:00:00
9450,"Kalosi",,"mvp",,"GRN / ROD","BM",4/1/2010 0:00:00
9451,"Dharba",,"pci",,"GRN / ROD","BM",4/1/2010 0:00:00
9452,"Kukanar",,"pci",,"GRN / ROD","BM",4/1/2010 0:00:00
9453,"Nethanar",,"pci",,"GRN / ROD","BM",4/1/2010 0:00:00
9454,"Tiriya",,"pci",,"GRN / ROD","BM",4/1/2010 0:00:00
9456,"Beaufort",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
9457,"Bundu",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
9458,"Dusun Sinulihan",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
9459,"Kadazan-tagaro",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
9460,"Kiundu",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
9461,"Kuala Monsok Dusun",,"dtp","dtp12","GRN / ROD","BM",4/1/2010 0:00:00
9462,"Luba",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
9463,"Menggatal",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
9464,"Pahu'",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
9465,"Ranau",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
9466,"Sokid",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
9467,"Tindal",,"dtp",,"GRN / ROD","BM",4/1/2010 0:00:00
9468,"Talantang",,"kzs",,"GRN / ROD","BM",4/1/2010 0:00:00
9469,"Tinagas",,"kzs",,"GRN / ROD","BM",4/1/2010 0:00:00
9472,"Dutch Creole",,"dcr",,"GRN / ROD","BM",4/1/2010 0:00:00
9473,"Brabants",,"nld",,"GRN / ROD","BM",4/1/2010 0:00:00
9474,"Bredas",,"nld",,"GRN / ROD","BM",4/1/2010 0:00:00
9475,"Oost-vlaams",,"nld",,"GRN / ROD","BM",4/1/2010 0:00:00
9476,"Venlos",,"nld",,"GRN / ROD","BM",4/1/2010 0:00:00
9477,"Duungoma",,"dux",,"GRN / ROD","BM",4/1/2010 0:00:00
9479,"Eastern Duvle",,"duv",,"GRN / ROD","BM",4/1/2010 0:00:00
9480,"Western Duvle",,"duv",,"GRN / ROD","BM",4/1/2010 0:00:00
9483,"Kwame-danso",,"nnu",,"GRN / ROD","BM",4/1/2010 0:00:00
9485,"Gulay",,"dyy",,"GRN / ROD","BM",4/1/2010 0:00:00
